"Z_Ji_[14,1]","Z_Ji_[14,2]","Z_Ji_[14,3]","Z_Ji_[14,4]","Z_Ji_[14,5]","Z_Ji_[14,6]","Z_Ji_[14,7]","Z_Ji_[14,8]","Z_Ji_[14,9]","Z_Ji_[14,10]","Z_Ji_[14,11]","Z_Ji_[14,12]","Z_Ji_[14,13]","Z_Ji_[14,14]","Z_Ji_[14,15]","Z_Ji_[14,16]","Z_Ji_[14,17]","Z_Ji_[14,18]","Z_Ji_[14,19]","Z_Ji_[14,20]"
0.138598045,0.187475579,0.191904581,0.162525446,0.117882408,0.074485473,0.041399625,0.020363293,0.008899744,0.003465887,0.001205197,0.00037479,0.00010436,2.60E-05,5.83E-06,1.17E-06,2.11E-07,3.43E-08,4.99E-09,6.54E-10
0.136338367,0.185133324,0.190609053,0.162681104,0.119141059,0.076158739,0.042906103,0.021433039,0.009531574,0.003784347,0.001344194,0.000427815,0.000122153,3.13E-05,7.22E-06,1.50E-06,2.79E-07,4.68E-08,7.08E-09,9.64E-10
0.134150531,0.182842337,0.189305137,0.162776407,0.120326119,0.07778051,0.044394687,0.022509437,0.010179403,0.004117495,0.001492779,0.000485835,0.000142115,3.74E-05,8.86E-06,1.89E-06,3.64E-07,6.32E-08,9.90E-09,1.40E-09
0.132031197,0.180601356,0.187995168,0.162815468,0.121440567,0.079351282,0.045864099,0.023590896,0.01084224,0.00446504,0.001651056,0.000549044,0.000164395,4.44E-05,1.08E-05,2.37E-06,4.71E-07,8.44E-08,1.37E-08,2.00E-09
0.129977231,0.178409127,0.186681242,0.162802138,0.122487303,0.080871655,0.047313211,0.024675902,0.011519094,0.004826661,0.001819099,0.000617626,0.000189139,5.23E-05,1.31E-05,2.95E-06,6.03E-07,1.11E-07,1.87E-08,2.83E-09
0.127985683,0.1762644,0.18536524,0.162740018,0.123469138,0.082342316,0.048741032,0.025763024,0.012208979,0.005202002,0.001996954,0.000691751,0.000216493,6.13E-05,1.57E-05,3.64E-06,7.65E-07,1.46E-07,2.52E-08,3.95E-09
0.126053776,0.174165943,0.184048848,0.162632476,0.124388796,0.083764028,0.050146699,0.026850908,0.012910918,0.005590682,0.002184638,0.000771576,0.000246598,7.14E-05,1.87E-05,4.46E-06,9.64E-07,1.89E-07,3.37E-08,5.46E-09
0.124178893,0.172112541,0.182733576,0.162482663,0.125248911,0.085137616,0.051529469,0.027938278,0.013623946,0.005992295,0.002382143,0.000857243,0.000279594,8.27E-05,2.22E-05,5.42E-06,1.20E-06,2.43E-07,4.46E-08,7.45E-09
0.122358568,0.170102999,0.181420777,0.162293529,0.126052024,0.086463957,0.052888708,0.029023938,0.014347114,0.006406415,0.002589435,0.00094888,0.000315617,9.54E-05,2.62E-05,6.55E-06,1.49E-06,3.09E-07,5.84E-08,1.01E-08
0.120590472,0.168136144,0.18011166,0.162067831,0.126800589,0.087743972,0.054223884,0.030106763,0.015079493,0.006832599,0.002806457,0.0010466,0.000354797,0.000109439,3.07E-05,7.87E-06,1.84E-06,3.91E-07,7.59E-08,1.35E-08
0.118872407,0.166210828,0.178807304,0.161808151,0.127496969,0.088978613,0.055534559,0.031185705,0.015820175,0.007270387,0.003033129,0.001150503,0.000397259,0.000124988,3.59E-05,9.39E-06,2.24E-06,4.90E-07,9.77E-08,1.78E-08
0.117202294,0.164325929,0.17750867,0.161516904,0.128143435,0.090168862,0.056820379,0.032259784,0.016568275,0.007719312,0.003269351,0.001260673,0.000443126,0.000142119,4.16E-05,1.11E-05,2.72E-06,6.10E-07,1.25E-07,2.34E-08
0.115578168,0.162480351,0.176216614,0.16119635,0.128742176,0.091315718,0.058081072,0.033328089,0.017322935,0.008178893,0.003515002,0.00137718,0.00049251,0.000160922,4.81E-05,1.31E-05,3.29E-06,7.54E-07,1.58E-07,3.05E-08
0.113998168,0.160673025,0.174931898,0.160848606,0.12929529,0.092420195,0.059316435,0.034389776,0.018083321,0.008648645,0.003769943,0.00150008,0.000545521,0.000181486,5.53E-05,1.54E-05,3.95E-06,9.25E-07,1.99E-07,3.93E-08
0.112460533,0.158902912,0.173655192,0.16047565,0.129804796,0.093483318,0.060526333,0.035444063,0.018848628,0.00912808,0.004034021,0.001629414,0.00060226,0.000203898,6.33E-05,1.80E-05,4.71E-06,1.13E-06,2.49E-07,5.04E-08
0.110963591,0.157168998,0.172387092,0.160079337,0.130272628,0.094506112,0.06171069,0.036490228,0.019618079,0.009616704,0.004307063,0.001765213,0.000662823,0.000228244,7.21E-05,2.09E-05,5.58E-06,1.37E-06,3.09E-07,6.40E-08
0.109505758,0.155470298,0.17112812,0.159661403,0.130700644,0.095489606,0.062869484,0.037527607,0.020390925,0.010114025,0.004588887,0.00190749,0.000727298,0.00025461,8.19E-05,2.42E-05,6.59E-06,1.65E-06,3.81E-07,8.08E-08
0.108085531,0.153805855,0.169878735,0.159223473,0.131090623,0.096434823,0.064002745,0.038555593,0.021166449,0.010619553,0.004879295,0.002056248,0.000795766,0.000283076,9.26E-05,2.79E-05,7.74E-06,1.98E-06,4.66E-07,1.01E-07
0.106701481,0.152174739,0.168639336,0.158767069,0.131444271,0.097342783,0.065110546,0.039573629,0.02194396,0.011132797,0.005178079,0.002211479,0.000868302,0.000313724,0.000104388,3.20E-05,9.05E-06,2.36E-06,5.68E-07,1.26E-07
0.105352252,0.150576047,0.167410269,0.158293617,0.131763222,0.098214495,0.066192999,0.040581209,0.022722798,0.011653276,0.00548502,0.002373161,0.00094497,0.00034663,0.000117222,3.66E-05,1.05E-05,2.80E-06,6.88E-07,1.56E-07
0.104036552,0.149008904,0.166191834,0.157804452,0.132049041,0.099050958,0.067250255,0.041577873,0.023502333,0.012180508,0.005799893,0.002541261,0.001025832,0.000381871,0.000131192,4.16E-05,1.22E-05,3.31E-06,8.29E-07,1.92E-07
0.102753154,0.14747246,0.164984286,0.157300825,0.132303227,0.099853157,0.068282496,0.042563206,0.024281964,0.012714022,0.006122462,0.002715736,0.001110939,0.000419517,0.000146353,4.72E-05,1.41E-05,3.89E-06,9.93E-07,2.35E-07
0.101500888,0.14596589,0.16378784,0.156783909,0.132527213,0.100622064,0.069289934,0.043536836,0.025061116,0.013253354,0.006452487,0.002896534,0.001200336,0.000459637,0.000162761,5.33E-05,1.62E-05,4.55E-06,1.18E-06,2.86E-07
0.100278641,0.144488395,0.162602675,0.156254801,0.132722374,0.101358634,0.070272806,0.044498429,0.025839245,0.013798046,0.006789721,0.003083591,0.001294061,0.000502297,0.000180472,6.01E-05,1.85E-05,5.30E-06,1.40E-06,3.46E-07
0.099085352,0.143039201,0.161428941,0.155714532,0.132890022,0.102063807,0.071231373,0.04544769,0.026615833,0.01434765,0.007133913,0.003276837,0.001392144,0.000547559,0.00019954,6.74E-05,2.11E-05,6.14E-06,1.66E-06,4.16E-07
0.097920007,0.141617557,0.160266754,0.155164064,0.133031414,0.102738502,0.072165914,0.046384359,0.02739039,0.01490173,0.007484808,0.003476191,0.00149461,0.000595481,0.000220018,7.54E-05,2.40E-05,7.10E-06,1.95E-06,4.98E-07
0.096781642,0.140222735,0.159116208,0.154604303,0.133147753,0.103383623,0.073076729,0.047308208,0.028162453,0.015459858,0.007842149,0.003681566,0.001601475,0.000646118,0.000241959,8.42E-05,2.72E-05,8.17E-06,2.28E-06,5.94E-07
0.095669334,0.13885403,0.157977369,0.154036095,0.133240189,0.104000051,0.073964132,0.04821904,0.028931582,0.016021616,0.008205677,0.003892868,0.00171275,0.000699522,0.000265415,9.36E-05,3.07E-05,9.37E-06,2.66E-06,7.05E-07
0.094582203,0.13751076,0.156850284,0.153460235,0.133309821,0.104588651,0.07482845,0.049116689,0.029697364,0.0165866,0.008575131,0.004109994,0.001828438,0.000755739,0.000290436,0.000103846,3.46E-05,1.07E-05,3.09E-06,8.33E-07
0.093519406,0.136192261,0.15573498,0.152877466,0.133357702,0.105150266,0.07567002,0.050001014,0.03045941,0.017154415,0.008950251,0.004332837,0.001948537,0.000814813,0.00031707,0.000114888,3.88E-05,1.22E-05,3.58E-06,9.80E-07
0.092480139,0.134897893,0.154631467,0.152288487,0.133384838,0.10568572,0.076489193,0.050871901,0.031217353,0.017724678,0.009330776,0.004561284,0.00207304,0.000876785,0.000345364,0.000126776,4.34E-05,1.39E-05,4.13E-06,1.15E-06
0.091463633,0.133627033,0.153539737,0.151693952,0.133392191,0.106195815,0.077286324,0.051729258,0.031970851,0.018297019,0.009716447,0.004795217,0.002201932,0.000941689,0.000375365,0.000139546,4.84E-05,1.57E-05,4.74E-06,1.34E-06
0.090469149,0.132379081,0.152459769,0.151094473,0.133380681,0.106681335,0.078061775,0.052573016,0.032719582,0.018871078,0.010107004,0.005034513,0.002335194,0.001009559,0.000407116,0.000153234,5.39E-05,1.77E-05,5.43E-06,1.56E-06
0.089495984,0.131153452,0.15139153,0.150490625,0.133351188,0.107143042,0.078815917,0.053403128,0.033463245,0.019446508,0.010502192,0.005279046,0.0024728,0.001080422,0.000440659,0.000167877,5.98E-05,1.99E-05,6.20E-06,1.80E-06
0.088543461,0.129949582,0.150334974,0.149882947,0.133304554,0.107581679,0.07954912,0.054219563,0.034201561,0.020022974,0.010901756,0.005528684,0.002614721,0.001154303,0.000476035,0.000183509,6.62E-05,2.23E-05,7.05E-06,2.08E-06
0.087610932,0.128766922,0.149290045,0.149271943,0.133241583,0.107997968,0.08026176,0.055022311,0.034934266,0.020600154,0.011305445,0.005783295,0.002760922,0.001231222,0.000513282,0.000200164,7.31E-05,2.50E-05,7.99E-06,2.40E-06
0.086697778,0.127604941,0.148256679,0.148658087,0.133163045,0.108392612,0.080954214,0.055811375,0.035661121,0.021177736,0.01171301,0.006042742,0.002911363,0.001311198,0.000552437,0.000217878,8.05E-05,2.79E-05,9.04E-06,2.75E-06
0.085803401,0.126463125,0.147234802,0.148041821,0.133069675,0.108766295,0.08162686,0.056586778,0.036381899,0.02175542,0.012124207,0.006306885,0.003066002,0.001394242,0.000593533,0.000236683,8.85E-05,3.10E-05,1.02E-05,3.14E-06
0.084927231,0.125340975,0.146224335,0.147423561,0.132962177,0.109119681,0.082280078,0.057348551,0.037096393,0.022332918,0.012538795,0.006575585,0.00322479,0.001480366,0.000636605,0.000256613,9.70E-05,3.44E-05,1.15E-05,3.58E-06
0.08406872,0.124238008,0.145225188,0.146803695,0.132841225,0.109453415,0.082914243,0.058096744,0.037804413,0.022909956,0.012956536,0.006848699,0.003387676,0.001569575,0.000681682,0.000277699,0.000106167,3.81E-05,1.28E-05,4.07E-06
0.08322734,0.123153754,0.144237271,0.146182589,0.132707462,0.109768124,0.083529734,0.058831414,0.038505783,0.023486266,0.013377197,0.007126083,0.003554604,0.001661873,0.000728792,0.000299973,0.000115948,4.21E-05,1.44E-05,4.61E-06
0.082402585,0.12208776,0.143260485,0.145560583,0.132561503,0.110064416,0.084126925,0.059552632,0.039200341,0.024061597,0.01380055,0.007407593,0.003725516,0.00175726,0.000777962,0.000323464,0.000126378,4.64E-05,1.60E-05,5.21E-06
