#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1059,RU LUP,000-BBW-753,2459386.88144,11.096,0.007,False,Johnson B,CCD,MGW,1.239,False
1060,RU LUP,000-BBW-753,2459386.88253,10.602,0.006,False,Johnson V,CCD,MGW,1.231,False
1061,RU LUP,000-BBW-753,2459386.88310,9.996,0.004,False,Cousins R,CCD,MGW,1.229,False
1062,RU LUP,000-BBW-753,2459389.535197,10.401,0.011,False,Johnson B,CCD,HMB,1.098,False
1063,RU LUP,000-BBW-753,2459389.535475,10.354,0.012,False,Johnson B,CCD,HMB,1.098,False
1064,RU LUP,000-BBW-753,2459389.535718,9.544,0.007,False,Cousins R,CCD,HMB,1.097,False
1065,RU LUP,000-BBW-753,2459389.535868,9.523,0.008,False,Cousins R,CCD,HMB,1.097,False
1066,RU LUP,000-BBW-753,2459389.536076,8.947,0.013,False,Cousins I,CCD,HMB,1.096,False
1067,RU LUP,000-BBW-753,2459389.536238,8.918,0.013,False,Cousins I,CCD,HMB,1.096,False
1068,RU LUP,000-BBW-753,2459389.536424,9.949,0.008,False,Johnson V,CCD,HMB,1.096,False
1069,RU LUP,000-BBW-753,2459389.536574,9.961,0.008,False,Johnson V,CCD,HMB,1.095,False
1070,RU Lup,000-BBW-753,2459392.64931,10.5,,False,Visual,Visual,PLA,,
1071,RU LUP,000-BBW-753,2459392.89447,11.106,0.005,False,Johnson B,CCD,MGW,1.130,False
1072,RU LUP,000-BBW-753,2459392.89556,10.636,0.006,False,Johnson V,CCD,MGW,1.126,False
1073,RU LUP,000-BBW-753,2459392.89616,9.998,0.004,False,Cousins R,CCD,MGW,1.124,False
1074,RU LUP,000-BBW-753,2459392.89674,9.283,0.005,False,Cousins I,CCD,MGW,1.122,False
1075,RU Lup ,000-BBW-753,2459393.44861,10.4,,False,Visual,Visual,RFP,,
1076,RU LUP,000-BBW-753,2459393.507315,10.830,0.008,False,Johnson B,CCD,HMB,1.140,False
1077,RU LUP,000-BBW-753,2459393.507593,10.810,0.008,False,Johnson B,CCD,HMB,1.140,False
1078,RU LUP,000-BBW-753,2459393.507847,9.922,0.006,False,Cousins R,CCD,HMB,1.139,False
1079,RU LUP,000-BBW-753,2459393.507998,9.924,0.006,False,Cousins R,CCD,HMB,1.138,False
1080,RU LUP,000-BBW-753,2459393.508206,9.284,0.009,False,Cousins I,CCD,HMB,1.138,False
1081,RU LUP,000-BBW-753,2459393.508368,9.265,0.010,False,Cousins I,CCD,HMB,1.137,False
1082,RU LUP,000-BBW-753,2459393.508553,10.406,0.007,False,Johnson V,CCD,HMB,1.137,False
1083,RU LUP,000-BBW-753,2459393.508715,10.388,0.007,False,Johnson V,CCD,HMB,1.136,False
1084,RU Lup,000-BBW-753,2459393.60417,10.3,,False,Visual,Visual,PLA,,
1085,RU LUP,000-BBW-753,2459393.88056,10.518,0.004,False,Johnson B,CCD,MGW,1.166,False
1086,RU LUP,000-BBW-753,2459393.88164,10.060,0.005,False,Johnson V,CCD,MGW,1.161,False
1087,RU LUP,000-BBW-753,2459393.88222,9.542,0.003,False,Cousins R,CCD,MGW,1.159,False
1088,RU LUP,000-BBW-753,2459393.88282,8.885,0.004,False,Cousins I,CCD,MGW,1.157,False
1089,Ru Lup,000-BBW-753,2459394.40556,10.3,,False,Visual,Visual,DCMA,,
1090,RU LUP,000-BBW-753,2459394.504502,10.785,0.008,False,Johnson B,CCD,HMB,1.141,False
1091,RU LUP,000-BBW-753,2459394.504780,10.806,0.008,False,Johnson B,CCD,HMB,1.140,False
1092,RU LUP,000-BBW-753,2459394.505023,9.886,0.006,False,Cousins R,CCD,HMB,1.139,False
1093,RU LUP,000-BBW-753,2459394.505185,9.903,0.006,False,Cousins R,CCD,HMB,1.139,False
1094,RU LUP,000-BBW-753,2459394.505394,9.260,0.011,False,Cousins I,CCD,HMB,1.138,False
1095,RU LUP,000-BBW-753,2459394.505556,9.267,0.011,False,Cousins I,CCD,HMB,1.138,False
1096,RU LUP,000-BBW-753,2459394.505741,10.418,0.007,False,Johnson V,CCD,HMB,1.137,False
1097,RU LUP,000-BBW-753,2459394.505903,10.396,0.007,False,Johnson V,CCD,HMB,1.137,False
1098,Ru Lup,000-BBW-753,2459395.42431,10.6,,False,Visual,Visual,DCMA,,
1099,RU LUP,000-BBW-753,2459395.501609,11.244,0.009,False,Johnson B,CCD,HMB,1.141,False
1100,RU LUP,000-BBW-753,2459395.501875,11.247,0.009,False,Johnson B,CCD,HMB,1.140,False
1101,RU LUP,000-BBW-753,2459395.502130,10.207,0.006,False,Cousins R,CCD,HMB,1.140,False
1102,RU LUP,000-BBW-753,2459395.502280,10.203,0.006,False,Cousins R,CCD,HMB,1.139,False
1103,RU LUP,000-BBW-753,2459395.502488,9.536,0.010,False,Cousins I,CCD,HMB,1.139,False
1104,RU LUP,000-BBW-753,2459395.502650,9.507,0.010,False,Cousins I,CCD,HMB,1.138,False
1105,RU LUP,000-BBW-753,2459395.502836,10.784,0.008,False,Johnson V,CCD,HMB,1.138,False
1106,RU LUP,000-BBW-753,2459395.502998,10.778,0.008,False,Johnson V,CCD,HMB,1.137,False
1107,RU LUP,000-BBW-753,2459396.498900,11.088,0.008,False,Johnson B,CCD,HMB,1.141,False
1108,RU LUP,000-BBW-753,2459396.499178,11.079,0.008,False,Johnson B,CCD,HMB,1.140,False
1109,RU LUP,000-BBW-753,2459396.499421,10.123,0.006,False,Cousins R,CCD,HMB,1.139,False
1110,RU LUP,000-BBW-753,2459396.499572,10.110,0.006,False,Cousins R,CCD,HMB,1.139,False
1111,RU LUP,000-BBW-753,2459396.499792,9.458,0.010,False,Cousins I,CCD,HMB,1.138,False
1112,RU LUP,000-BBW-753,2459396.499954,9.451,0.010,False,Cousins I,CCD,HMB,1.138,False
1113,RU LUP,000-BBW-753,2459396.500139,10.669,0.007,False,Johnson V,CCD,HMB,1.137,False
1114,RU LUP,000-BBW-753,2459396.500301,10.662,0.007,False,Johnson V,CCD,HMB,1.137,False
