Host CoM,Host HalfM* radius,Host ID,Host KappaCorot,Host M*,Host M* Iron,Host M* Metal,Host Mgas,Host Mhyd,Host Mtot,Host R200,Host i,Host vel,Sat CoM,Sat HalfM* radius,Sat ID,Sat M*,Sat M* Iron,Sat M* Metal,Sat Mgas,Sat Mhyd,Sat Mtot,Sat i,Sat vel,Volume
"[302.73162841796875, 390.65093994140625, 259.0334777832031]",0.0,13945,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.289428992135927,13944,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[308.2610778808594, 389.4042663574219, 260.89520263671875]",0.0,13946,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.337688506196257,13945,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[298.3658752441406, 385.7919006347656, 258.5146789550781]",0.0,13947,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.344381692152544,13946,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[309.5669250488281, 389.35406494140625, 261.956298828125]",0.0,13948,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.791867180084843,13947,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[305.5126037597656, 391.9445495605469, 261.6616516113281]",0.0,13949,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.226048957605303,13948,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[306.6305847167969, 389.7283020019531, 257.3666076660156]",0.0,13950,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.404468751418614,13949,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.7141418457031, 382.2712707519531, 259.4897766113281]",0.0,13951,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.345985580516119,13950,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.2593688964844, 387.70367431640625, 253.1859130859375]",0.0,13952,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.291548003329732,13951,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[305.55841064453125, 386.4700012207031, 255.27078247070312]",0.0,13953,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.2002166877056633,13952,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.5182800292969, 389.6308898925781, 254.2384490966797]",0.0,13954,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.94749596091318,13953,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[305.290771484375, 383.33551025390625, 256.57244873046875]",0.0,13955,0.0,0.0,0.0,0.0,0.0,0.0,9681278.0,4.022532235893585,13954,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[302.7477722167969, 386.14105224609375, 260.08026123046875]",0.0,13956,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.849625239096148,13955,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[306.63677978515625, 383.7232666015625, 252.51060485839844]",0.0,13957,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.03317762355058,13956,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.8149108886719, 392.6711120605469, 261.2998352050781]",0.0,13958,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.442450768103635,13957,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.7414245605469, 393.26177978515625, 260.86566162109375]",0.0,13959,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.248379609654547,13958,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.6244201660156, 391.6687927246094, 259.73553466796875]",0.0,13960,0.0,0.0,0.0,0.0,0.0,0.0,8773658.0,2.51992389525723,13959,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[298.70660400390625, 381.693115234375, 258.6197509765625]",0.0,13961,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.390694706087689,13960,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[299.9159240722656, 386.51678466796875, 265.2409973144531]",0.0,13962,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.079433292897573,13961,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.72552490234375, 389.4657287597656, 253.9093475341797]",0.0,13963,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.323992864579716,13962,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[308.5253601074219, 389.2713317871094, 261.2122497558594]",0.0,13964,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.268999546166137,13963,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[297.2800598144531, 389.9782409667969, 258.76678466796875]",0.0,13965,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.308564620660157,13964,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.9075622558594, 385.1409606933594, 253.03863525390625]",0.0,13966,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.9756482587997395,13965,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.7752380371094, 387.2354431152344, 253.50672912597656]",0.0,13967,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.8694182983236076,13966,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[306.3206787109375, 383.4327087402344, 254.52658081054688]",0.0,13968,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.9815101331403127,13967,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.1650390625, 381.0484924316406, 259.9759826660156]",0.0,13969,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.414244323244541,13968,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[307.8382263183594, 385.4332580566406, 261.39813232421875]",0.0,13970,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.904479797765275,13969,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[306.9717712402344, 385.28363037109375, 256.5622253417969]",0.0,13971,0.0,0.0,0.0,0.0,0.0,0.0,9681278.0,3.2933203011606436,13970,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[299.67950439453125, 387.3075256347656, 252.99395751953125]",0.0,13972,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.259938541214042,13971,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.7276916503906, 389.0614929199219, 261.077880859375]",0.0,13973,0.0,0.0,0.0,0.0,0.0,0.0,9378737.0,4.014024859501901,13972,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[301.5906677246094, 389.93682861328125, 258.26849365234375]",0.0,13974,0.0,0.0,0.0,0.0,0.0,0.0,9681278.0,4.133168760899314,13973,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[303.90142822265625, 389.9367370605469, 262.77825927734375]",0.0,13975,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.224158352300519,13974,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[300.365478515625, 389.9452209472656, 252.6990966796875]",0.0,13976,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.4339755162014445,13975,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[308.6504821777344, 381.92303466796875, 260.17156982421875]",0.0,13977,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.365800489318742,13976,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[304.9219055175781, 389.10955810546875, 261.1463317871094]",0.0,13978,0.0,0.0,0.0,0.0,0.0,0.0,9076198.0,3.905786082765294,13977,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[302.3725891113281, 380.5828857421875, 258.6133117675781]",0.0,13979,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,3.5682255171941217,13978,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
"[297.001953125, 389.6880798339844, 258.4346618652344]",0.0,13980,0.0,0.0,0.0,0.0,0.0,0.0,9983818.0,4.247002989801764,13979,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",[],[],[],[],[],[],[],[],[],[],[],05
