eff_tau_01,eff_tau_02,eff_tau_14,eff_tau_17
7.02E-08,3.82E-07,4.85E-07,1.52E-07
8.53E-08,4.66E-07,6.22E-07,1.99E-07
1.01E-07,5.56E-07,7.77E-07,2.53E-07
1.18E-07,6.50E-07,9.47E-07,3.13E-07
1.35E-07,7.47E-07,1.13E-06,3.79E-07
1.53E-07,8.46E-07,1.33E-06,4.51E-07
1.70E-07,9.45E-07,1.53E-06,5.28E-07
1.88E-07,1.04E-06,1.74E-06,6.08E-07
2.05E-07,1.14E-06,1.96E-06,6.91E-07
2.21E-07,1.24E-06,2.18E-06,7.77E-07
2.38E-07,1.33E-06,2.40E-06,8.64E-07
2.53E-07,1.42E-06,2.62E-06,9.51E-07
2.68E-07,1.50E-06,2.84E-06,1.04E-06
2.82E-07,1.58E-06,3.05E-06,1.13E-06
2.95E-07,1.66E-06,3.26E-06,1.21E-06
3.07E-07,1.73E-06,3.46E-06,1.30E-06
3.19E-07,1.80E-06,3.66E-06,1.38E-06
3.29E-07,1.86E-06,3.84E-06,1.46E-06
3.39E-07,1.92E-06,4.02E-06,1.53E-06
3.48E-07,1.97E-06,4.19E-06,1.61E-06
3.56E-07,2.02E-06,4.35E-06,1.68E-06
3.63E-07,2.06E-06,4.50E-06,1.75E-06
3.70E-07,2.10E-06,4.64E-06,1.81E-06
3.76E-07,2.14E-06,4.77E-06,1.87E-06
3.81E-07,2.17E-06,4.90E-06,1.93E-06
3.85E-07,2.20E-06,5.01E-06,1.98E-06
3.89E-07,2.22E-06,5.11E-06,2.03E-06
3.92E-07,2.24E-06,5.21E-06,2.07E-06
3.95E-07,2.25E-06,5.29E-06,2.12E-06
3.97E-07,2.27E-06,5.37E-06,2.16E-06
3.98E-07,2.28E-06,5.44E-06,2.19E-06
9.79E-10,4.91E-09,2.16E-09,4.46E-10
2.45E-09,1.24E-08,6.64E-09,1.48E-09
5.18E-09,2.67E-08,1.67E-08,3.97E-09
9.67E-09,5.03E-08,3.61E-08,9.04E-09
1.63E-08,8.59E-08,6.92E-08,1.81E-08
2.55E-08,1.35E-07,1.21E-07,3.29E-08
3.74E-08,2.00E-07,1.94E-07,5.49E-08
5.21E-08,2.80E-07,2.94E-07,8.56E-08
6.94E-08,3.75E-07,4.23E-07,1.26E-07
8.93E-08,4.84E-07,5.81E-07,1.78E-07
1.11E-07,6.06E-07,7.69E-07,2.41E-07
1.35E-07,7.39E-07,9.86E-07,3.15E-07
1.61E-07,8.81E-07,1.23E-06,4.00E-07
1.87E-07,1.03E-06,1.50E-06,4.96E-07
2.14E-07,1.18E-06,1.79E-06,6.01E-07
2.42E-07,1.34E-06,2.10E-06,7.15E-07
2.70E-07,1.50E-06,2.43E-06,8.36E-07
2.97E-07,1.65E-06,2.76E-06,9.64E-07
3.25E-07,1.81E-06,3.11E-06,1.10E-06
3.51E-07,1.96E-06,3.45E-06,1.23E-06
3.76E-07,2.11E-06,3.80E-06,1.37E-06
4.01E-07,2.25E-06,4.15E-06,1.51E-06
4.24E-07,2.38E-06,4.50E-06,1.65E-06
4.47E-07,2.51E-06,4.83E-06,1.78E-06
4.67E-07,2.63E-06,5.16E-06,1.92E-06
4.87E-07,2.75E-06,5.48E-06,2.05E-06
5.05E-07,2.85E-06,5.79E-06,2.18E-06
5.22E-07,2.95E-06,6.09E-06,2.31E-06
5.38E-07,3.04E-06,6.37E-06,2.43E-06
5.52E-07,3.13E-06,6.64E-06,2.55E-06
5.64E-07,3.20E-06,6.89E-06,2.66E-06
5.76E-07,3.27E-06,7.13E-06,2.77E-06
5.86E-07,3.33E-06,7.36E-06,2.87E-06
5.96E-07,3.39E-06,7.57E-06,2.96E-06
6.04E-07,3.44E-06,7.76E-06,3.05E-06
6.11E-07,3.48E-06,7.94E-06,3.14E-06
6.16E-07,3.52E-06,8.10E-06,3.22E-06
6.21E-07,3.55E-06,8.25E-06,3.29E-06
6.25E-07,3.57E-06,8.39E-06,3.36E-06
6.28E-07,3.59E-06,8.51E-06,3.42E-06
6.31E-07,3.61E-06,8.62E-06,3.47E-06
1.55E-09,7.78E-09,3.42E-09,7.07E-10
3.88E-09,1.97E-08,1.05E-08,2.34E-09
8.21E-09,4.23E-08,2.65E-08,6.29E-09
1.53E-08,7.98E-08,5.73E-08,1.43E-08
2.59E-08,1.36E-07,1.10E-07,2.87E-08
4.05E-08,2.14E-07,1.91E-07,5.21E-08
5.93E-08,3.16E-07,3.08E-07,8.70E-08
8.26E-08,4.43E-07,4.66E-07,1.36E-07
1.10E-07,5.94E-07,6.70E-07,2.00E-07
1.41E-07,7.67E-07,9.20E-07,2.82E-07
1.76E-07,9.60E-07,1.22E-06,3.82E-07
2.14E-07,1.17E-06,1.56E-06,4.99E-07
2.55E-07,1.40E-06,1.95E-06,6.34E-07
2.97E-07,1.63E-06,2.38E-06,7.86E-07
3.40E-07,1.88E-06,2.84E-06,9.53E-07
3.84E-07,2.12E-06,3.33E-06,1.13E-06
4.28E-07,2.37E-06,3.85E-06,1.33E-06
4.71E-07,2.62E-06,4.38E-06,1.53E-06
5.14E-07,2.87E-06,4.92E-06,1.74E-06
5.56E-07,3.11E-06,5.47E-06,1.95E-06
5.97E-07,3.34E-06,6.03E-06,2.17E-06
6.36E-07,3.56E-06,6.58E-06,2.39E-06
6.73E-07,3.78E-06,7.13E-06,2.61E-06
7.08E-07,3.98E-06,7.66E-06,2.83E-06
7.41E-07,4.17E-06,8.19E-06,3.04E-06
7.72E-07,4.35E-06,8.69E-06,3.26E-06
8.01E-07,4.52E-06,9.18E-06,3.46E-06
8.27E-07,4.68E-06,9.65E-06,3.66E-06
8.52E-07,4.82E-06,1.01E-05,3.85E-06
8.74E-07,4.96E-06,1.05E-05,4.04E-06
8.95E-07,5.08E-06,1.09E-05,4.22E-06
9.13E-07,5.19E-06,1.13E-05,4.39E-06
9.29E-07,5.28E-06,1.17E-05,4.55E-06
9.44E-07,5.37E-06,1.20E-05,4.70E-06
9.57E-07,5.45E-06,1.23E-05,4.84E-06
9.68E-07,5.52E-06,1.26E-05,4.97E-06
9.77E-07,5.57E-06,1.28E-05,5.10E-06
9.85E-07,5.62E-06,1.31E-05,5.21E-06
9.91E-07,5.66E-06,1.33E-05,5.32E-06
9.96E-07,5.70E-06,1.35E-05,5.42E-06
1.00E-06,5.72E-06,1.37E-05,5.51E-06
2.46E-09,1.23E-08,5.43E-09,1.12E-09
6.15E-09,3.13E-08,1.67E-08,3.72E-09
1.30E-08,6.71E-08,4.20E-08,9.97E-09
2.43E-08,1.26E-07,9.07E-08,2.27E-08
4.11E-08,2.16E-07,1.74E-07,4.56E-08
6.41E-08,3.40E-07,3.03E-07,8.26E-08
9.40E-08,5.02E-07,4.88E-07,1.38E-07
1.31E-07,7.02E-07,7.39E-07,2.15E-07
1.74E-07,9.41E-07,1.06E-06,3.17E-07
2.24E-07,1.22E-06,1.46E-06,4.47E-07
2.80E-07,1.52E-06,1.93E-06,6.05E-07
3.40E-07,1.86E-06,2.48E-06,7.91E-07
4.03E-07,2.21E-06,3.09E-06,1.01E-06
4.70E-07,2.59E-06,3.77E-06,1.25E-06
5.39E-07,2.97E-06,4.50E-06,1.51E-06
6.08E-07,3.37E-06,5.28E-06,1.80E-06
6.78E-07,3.76E-06,6.09E-06,2.10E-06
7.47E-07,4.16E-06,6.94E-06,2.42E-06
8.15E-07,4.54E-06,7.80E-06,2.75E-06
8.82E-07,4.92E-06,8.68E-06,3.09E-06
9.46E-07,5.29E-06,9.56E-06,3.44E-06
1.01E-06,5.65E-06,1.04E-05,3.79E-06
1.07E-06,5.99E-06,1.13E-05,4.14E-06
1.12E-06,6.31E-06,1.21E-05,4.48E-06
1.17E-06,6.61E-06,1.30E-05,4.82E-06
1.22E-06,6.90E-06,1.38E-05,5.16E-06
1.27E-06,7.17E-06,1.46E-05,5.49E-06
1.31E-06,7.42E-06,1.53E-05,5.80E-06
1.35E-06,7.65E-06,1.60E-05,6.11E-06
1.39E-06,7.86E-06,1.67E-05,6.40E-06
1.42E-06,8.05E-06,1.73E-05,6.68E-06
1.45E-06,8.22E-06,1.79E-05,6.95E-06
1.47E-06,8.38E-06,1.85E-05,7.20E-06
1.50E-06,8.51E-06,1.90E-05,7.44E-06
1.52E-06,8.64E-06,1.95E-05,7.67E-06
1.53E-06,8.74E-06,1.99E-05,7.88E-06
1.55E-06,8.83E-06,2.04E-05,8.08E-06
1.56E-06,8.91E-06,2.07E-05,8.26E-06
1.57E-06,8.98E-06,2.11E-05,8.43E-06
1.58E-06,9.03E-06,2.14E-05,8.58E-06
1.58E-06,9.07E-06,2.16E-05,8.73E-06
3.90E-09,1.95E-08,8.60E-09,1.78E-09
9.74E-09,4.96E-08,2.64E-08,5.89E-09
2.06E-08,1.06E-07,6.66E-08,1.58E-08
3.85E-08,2.00E-07,1.44E-07,3.60E-08
6.51E-08,3.42E-07,2.76E-07,7.22E-08
1.02E-07,5.38E-07,4.80E-07,1.31E-07
1.49E-07,7.95E-07,7.74E-07,2.18E-07
2.07E-07,1.11E-06,1.17E-06,3.41E-07
2.76E-07,1.49E-06,1.68E-06,5.03E-07
3.55E-07,1.93E-06,2.31E-06,7.08E-07
4.43E-07,2.41E-06,3.06E-06,9.59E-07
5.38E-07,2.94E-06,3.93E-06,1.25E-06
6.39E-07,3.51E-06,4.90E-06,1.59E-06
7.45E-07,4.10E-06,5.97E-06,1.97E-06
8.54E-07,4.71E-06,7.13E-06,2.39E-06
9.64E-07,5.34E-06,8.37E-06,2.85E-06
1.07E-06,5.96E-06,9.66E-06,3.33E-06
1.18E-06,6.59E-06,1.10E-05,3.84E-06
1.29E-06,7.20E-06,1.24E-05,4.36E-06
1.40E-06,7.81E-06,1.38E-05,4.90E-06
1.50E-06,8.39E-06,1.51E-05,5.45E-06
1.60E-06,8.95E-06,1.65E-05,6.00E-06
1.69E-06,9.49E-06,1.79E-05,6.56E-06
1.78E-06,1.00E-05,1.92E-05,7.10E-06
1.86E-06,1.05E-05,2.06E-05,7.65E-06
1.94E-06,1.09E-05,2.18E-05,8.18E-06
2.01E-06,1.14E-05,2.31E-05,8.69E-06
2.08E-06,1.18E-05,2.42E-05,9.20E-06
2.14E-06,1.21E-05,2.54E-05,9.68E-06
2.20E-06,1.24E-05,2.64E-05,1.01E-05
2.25E-06,1.28E-05,2.74E-05,1.06E-05
2.29E-06,1.30E-05,2.84E-05,1.10E-05
2.33E-06,1.33E-05,2.93E-05,1.14E-05
2.37E-06,1.35E-05,3.01E-05,1.18E-05
2.40E-06,1.37E-05,3.09E-05,1.22E-05
2.43E-06,1.39E-05,3.16E-05,1.25E-05
2.45E-06,1.40E-05,3.23E-05,1.28E-05
2.47E-06,1.41E-05,3.29E-05,1.31E-05
2.49E-06,1.42E-05,3.34E-05,1.34E-05
2.50E-06,1.43E-05,3.39E-05,1.36E-05
2.51E-06,1.44E-05,3.43E-05,1.38E-05
6.18E-09,3.10E-08,1.36E-08,2.81E-09
1.54E-08,7.85E-08,4.19E-08,9.34E-09
3.27E-08,1.68E-07,1.06E-07,2.50E-08
6.10E-08,3.18E-07,2.28E-07,5.70E-08
1.03E-07,5.42E-07,4.37E-07,1.14E-07
1.61E-07,8.53E-07,7.61E-07,2.07E-07
2.36E-07,1.26E-06,1.23E-06,3.46E-07
3.29E-07,1.76E-06,1.86E-06,5.40E-07
4.38E-07,2.36E-06,2.67E-06,7.97E-07
5.63E-07,3.05E-06,3.66E-06,1.12E-06
7.02E-07,3.82E-06,4.85E-06,1.52E-06
8.53E-07,4.66E-06,6.22E-06,1.99E-06
1.01E-06,5.56E-06,7.77E-06,2.53E-06
1.18E-06,6.50E-06,9.47E-06,3.13E-06
1.35E-06,7.47E-06,1.13E-05,3.79E-06
1.53E-06,8.46E-06,1.33E-05,4.51E-06
1.70E-06,9.45E-06,1.53E-05,5.28E-06
1.88E-06,1.04E-05,1.74E-05,6.08E-06
2.05E-06,1.14E-05,1.96E-05,6.91E-06
2.21E-06,1.24E-05,2.18E-05,7.77E-06
2.38E-06,1.33E-05,2.40E-05,8.64E-06
2.53E-06,1.42E-05,2.62E-05,9.51E-06
2.68E-06,1.50E-05,2.84E-05,1.04E-05
2.82E-06,1.58E-05,3.05E-05,1.13E-05
2.95E-06,1.66E-05,3.26E-05,1.21E-05
3.07E-06,1.73E-05,3.46E-05,1.30E-05
3.19E-06,1.80E-05,3.66E-05,1.38E-05
3.29E-06,1.86E-05,3.84E-05,1.46E-05
3.39E-06,1.92E-05,4.02E-05,1.53E-05
3.48E-06,1.97E-05,4.19E-05,1.61E-05
3.56E-06,2.02E-05,4.35E-05,1.68E-05
3.63E-06,2.06E-05,4.50E-05,1.75E-05
3.70E-06,2.10E-05,4.64E-05,1.81E-05
3.76E-06,2.14E-05,4.77E-05,1.87E-05
3.81E-06,2.17E-05,4.90E-05,1.93E-05
3.85E-06,2.20E-05,5.01E-05,1.98E-05
3.89E-06,2.22E-05,5.11E-05,2.03E-05
3.92E-06,2.24E-05,5.21E-05,2.07E-05
3.95E-06,2.25E-05,5.29E-05,2.12E-05
3.97E-06,2.27E-05,5.37E-05,2.16E-05
3.98E-06,2.28E-05,5.44E-05,2.19E-05
9.79E-09,4.91E-08,2.16E-08,4.46E-09
2.45E-08,1.24E-07,6.64E-08,1.48E-08
5.18E-08,2.67E-07,1.67E-07,3.97E-08
9.67E-08,5.03E-07,3.61E-07,9.04E-08
1.63E-07,8.59E-07,6.92E-07,1.81E-07
2.55E-07,1.35E-06,1.21E-06,3.29E-07
3.74E-07,2.00E-06,1.94E-06,5.49E-07
5.21E-07,2.80E-06,2.94E-06,8.56E-07
6.94E-07,3.75E-06,4.23E-06,1.26E-06
8.93E-07,4.84E-06,5.81E-06,1.78E-06
1.11E-06,6.06E-06,7.69E-06,2.41E-06
1.35E-06,7.39E-06,9.86E-06,3.15E-06
1.61E-06,8.81E-06,1.23E-05,4.00E-06
1.87E-06,1.03E-05,1.50E-05,4.96E-06
2.14E-06,1.18E-05,1.79E-05,6.01E-06
2.42E-06,1.34E-05,2.10E-05,7.15E-06
2.70E-06,1.50E-05,2.43E-05,8.36E-06
2.97E-06,1.65E-05,2.76E-05,9.64E-06
3.25E-06,1.81E-05,3.11E-05,1.10E-05
3.51E-06,1.96E-05,3.45E-05,1.23E-05
3.76E-06,2.11E-05,3.80E-05,1.37E-05
4.01E-06,2.25E-05,4.15E-05,1.51E-05
4.24E-06,2.38E-05,4.50E-05,1.65E-05
4.47E-06,2.51E-05,4.83E-05,1.78E-05
4.67E-06,2.63E-05,5.16E-05,1.92E-05
4.87E-06,2.75E-05,5.48E-05,2.05E-05
5.05E-06,2.85E-05,5.79E-05,2.18E-05
5.22E-06,2.95E-05,6.09E-05,2.31E-05
5.38E-06,3.04E-05,6.37E-05,2.43E-05
5.52E-06,3.13E-05,6.64E-05,2.55E-05
5.64E-06,3.20E-05,6.89E-05,2.66E-05
5.76E-06,3.27E-05,7.13E-05,2.77E-05
5.86E-06,3.33E-05,7.36E-05,2.87E-05
5.96E-06,3.39E-05,7.57E-05,2.96E-05
6.04E-06,3.44E-05,7.76E-05,3.05E-05
6.11E-06,3.48E-05,7.94E-05,3.14E-05
6.16E-06,3.52E-05,8.10E-05,3.22E-05
6.21E-06,3.55E-05,8.25E-05,3.29E-05
6.25E-06,3.57E-05,8.39E-05,3.36E-05
6.28E-06,3.59E-05,8.51E-05,3.42E-05
6.31E-06,3.61E-05,8.62E-05,3.47E-05
1.55E-08,7.78E-08,3.42E-08,7.07E-09
3.88E-08,1.97E-07,1.05E-07,2.34E-08
8.21E-08,4.23E-07,2.65E-07,6.29E-08
1.53E-07,7.98E-07,5.73E-07,1.43E-07
2.59E-07,1.36E-06,1.10E-06,2.87E-07
4.05E-07,2.14E-06,1.91E-06,5.21E-07
5.93E-07,3.16E-06,3.08E-06,8.70E-07
8.26E-07,4.43E-06,4.66E-06,1.36E-06
1.10E-06,5.94E-06,6.70E-06,2.00E-06
1.41E-06,7.67E-06,9.20E-06,2.82E-06
1.76E-06,9.60E-06,1.22E-05,3.82E-06
2.14E-06,1.17E-05,1.56E-05,4.99E-06
2.55E-06,1.40E-05,1.95E-05,6.34E-06
2.97E-06,1.63E-05,2.38E-05,7.86E-06
3.40E-06,1.88E-05,2.84E-05,9.53E-06
3.84E-06,2.12E-05,3.33E-05,1.13E-05
4.28E-06,2.37E-05,3.85E-05,1.33E-05
4.71E-06,2.62E-05,4.38E-05,1.53E-05
5.14E-06,2.87E-05,4.92E-05,1.74E-05
5.56E-06,3.11E-05,5.47E-05,1.95E-05
5.97E-06,3.34E-05,6.03E-05,2.17E-05
6.36E-06,3.56E-05,6.58E-05,2.39E-05
6.73E-06,3.78E-05,7.13E-05,2.61E-05
7.08E-06,3.98E-05,7.66E-05,2.83E-05
7.41E-06,4.17E-05,8.19E-05,3.04E-05
7.72E-06,4.35E-05,8.69E-05,3.26E-05
8.01E-06,4.52E-05,9.18E-05,3.46E-05
8.27E-06,4.68E-05,9.65E-05,3.66E-05
8.52E-06,4.82E-05,0.000100981,3.85E-05
8.74E-06,4.96E-05,0.000105237,4.04E-05
8.95E-06,5.08E-05,0.000109261,4.22E-05
9.13E-06,5.19E-05,0.000113048,4.39E-05
9.29E-06,5.28E-05,0.000116597,4.55E-05
9.44E-06,5.37E-05,0.000119905,4.70E-05
9.57E-06,5.45E-05,0.000122975,4.84E-05
9.68E-06,5.52E-05,0.000125808,4.97E-05
9.77E-06,5.57E-05,0.000128409,5.10E-05
9.85E-06,5.62E-05,0.000130783,5.21E-05
9.91E-06,5.66E-05,0.000132935,5.32E-05
9.96E-06,5.70E-05,0.000134872,5.42E-05
1.00E-05,5.72E-05,0.000136602,5.51E-05
2.46E-08,1.23E-07,5.43E-08,1.12E-08
6.15E-08,3.13E-07,1.67E-07,3.72E-08
1.30E-07,6.71E-07,4.20E-07,9.97E-08
2.43E-07,1.26E-06,9.07E-07,2.27E-07
4.11E-07,2.16E-06,1.74E-06,4.56E-07
