eff_tau_01,eff_tau_02,eff_tau_14,eff_tau_17
0.004465712,0.025120351,0.048348546,0.017844357
0.004674486,0.026333623,0.051646126,0.0192044
0.004869958,0.027473074,0.054844314,0.020538059
0.005051899,0.028537013,0.057929074,0.021838564
0.00522024,0.029524708,0.060888947,0.023100134
0.005375054,0.030436243,0.06371484,0.024317923
0.005516523,0.031272382,0.066399818,0.025487963
0.005644927,0.032034455,0.068938879,0.026607091
0.005760618,0.032724244,0.071328743,0.027672879
0.005864005,0.033343895,0.073567644,0.028683564
0.005955544,0.033895832,0.075655133,0.029637973
0.006035721,0.034382689,0.0775919,0.030535455
0.006105044,0.03480725,0.079379602,0.03137582
0.006164035,0.035172395,0.081020717,0.032159274
0.006213222,0.035481058,0.082518401,0.032886365
0.006253132,0.035736191,0.083876369,0.033557934
0.006284287,0.035940736,0.085098784,0.034175065
0.0063072,0.036097598,0.086190164,0.034739044
1.55E-05,7.78E-05,3.42E-05,7.07E-06
3.88E-05,0.000197276,0.000105272,2.34E-05
8.21E-05,0.000423059,0.00026503,6.29E-05
0.00015323,0.000797901,0.000572506,0.000143279
0.000259022,0.001361107,0.001097088,0.00028742
0.000404713,0.002143515,0.001910988,0.000520905
0.000593372,0.003164481,0.003081364,0.000869592
0.000825794,0.004430889,0.004663731,0.001357076
0.001100666,0.005937789,0.006697512,0.002002648
0.001414911,0.007670103,0.009203926,0.002819944
0.001764115,0.009604869,0.01218591,0.003816312
0.00214296,0.011713618,0.01562959,0.004992819
0.002545627,0.013964606,0.019506741,0.006344722
0.002966135,0.016324741,0.023777748,0.007862271
0.003398605,0.018761139,0.028394688,0.009531663
0.003837464,0.021242309,0.033304251,0.011336061
0.00427758,0.023738988,0.038450347,0.013256567
0.004714344,0.026224681,0.043776309,0.015273105
0.005143719,0.02867595,0.049226662,0.017365189
0.005562242,0.031072532,0.05474848,0.019512548
0.005967019,0.033397293,0.060292367,0.021695628
0.006355687,0.0356361,0.065813108,0.023895956
0.006726379,0.037777619,0.071270053,0.026096414
0.007077677,0.039813073,0.076627281,0.0282814
0.007408561,0.041735979,0.081853593,0.030436922
0.007718364,0.043541888,0.086922379,0.03255063
0.00800672,0.045228118,0.091811396,0.034611792
0.008273523,0.046793509,0.096502478,0.036611245
0.008518886,0.048238194,0.100981217,0.038541311
0.0087431,0.049563386,0.105236619,0.040395699
0.008946607,0.05077119,0.10926076,0.042169397
0.009129964,0.051864432,0.113048439,0.043858558
0.009293822,0.052846512,0.116596858,0.045460386
0.009438901,0.053721273,0.119905305,0.046973021
0.009565973,0.05449289,0.122974874,0.048395435
0.009675843,0.055165774,0.125808191,0.049727323
0.009769338,0.055744489,0.128409183,0.050969014
0.009847294,0.056233687,0.130782852,0.052121377
0.009910546,0.056638046,0.132935086,0.053185742
0.009959923,0.056962228,0.134872484,0.054163828
0.009996239,0.057210837,0.136602204,0.055057675
2.46E-05,0.000123271,5.43E-05,1.12E-05
6.15E-05,0.000312661,0.000166845,3.72E-05
0.000130138,0.000670503,0.000420044,9.97E-05
0.000242854,0.001264588,0.000907362,0.000227081
0.000410523,0.002157209,0.001738768,0.000455531
0.000641427,0.003397243,0.003028712,0.000825579
0.000940431,0.005015364,0.004883633,0.00137821
0.001308795,0.007022486,0.007391515,0.00215082
0.001744438,0.009410762,0.010614842,0.003173983
0.002242483,0.012156294,0.01458724,0.00446931
0.002795933,0.015222691,0.019313366,0.006048448
0.003396362,0.018564833,0.024771231,0.007913085
0.004034548,0.022132409,0.030916101,0.010055707
0.004701007,0.02587297,0.037685192,0.012460859
0.005386427,0.029734401,0.045002548,0.015106668
0.006081971,0.033666791,0.05278368,0.017966446
0.006779507,0.037623761,0.060939692,0.021010242
0.007471732,0.041563318,0.069380773,0.02420624
0.008152245,0.045448319,0.078019001,0.027521969
0.00881556,0.049246644,0.086770494,0.030925305
0.009457088,0.052931142,0.095556963,0.034385252
0.010073084,0.056479412,0.104306747,0.037872539
0.010660592,0.059873491,0.112955422,0.04136003
0.011217362,0.063099468,0.121446056,0.044822999
0.011741778,0.06614707,0.129729202,0.048239271
0.012232783,0.069009242,0.137762687,0.051589271
0.012689796,0.071681736,0.145511256,0.054855993
0.013112651,0.074162714,0.15294612,0.058024913
0.013501524,0.076452385,0.160044443,0.061083862
0.01385688,0.078552673,0.166788802,0.064022869
0.014179416,0.080466913,0.173166635,0.06683399
0.014470018,0.082199585,0.179169702,0.06951113
0.014729715,0.083756077,0.184793566,0.072049856
0.01495965,0.085142479,0.190037102,0.074447221
0.015161045,0.08636541,0.19490204,0.076701595
0.015335177,0.087431859,0.199392545,0.078812496
0.015483357,0.088349062,0.203514839,0.080780443
0.015606909,0.089124388,0.207276851,0.082606815
0.015707157,0.089765254,0.210687912,0.08429372
0.015785415,0.090279047,0.213758482,0.085843882
0.015842971,0.090673066,0.216499903,0.087260534
3.90E-05,0.000195371,8.60E-05,1.78E-05
9.74E-05,0.000495535,0.000264432,5.89E-05
0.000206255,0.001062676,0.000665724,0.000157945
0.000384897,0.002004237,0.001438071,0.0003599
0.000650635,0.003418946,0.002755761,0.000721968
0.001016594,0.005384267,0.004800184,0.001308455
0.001490483,0.007948817,0.007740037,0.002184316
0.002074301,0.01112989,0.011714762,0.00340882
0.002764748,0.014915052,0.01682339,0.005030424
0.003554096,0.019266427,0.023119218,0.007083378
0.004431256,0.024126339,0.030609623,0.009586143
0.005382871,0.029423278,0.039259756,0.012541394
0.006394327,0.035077505,0.048998718,0.015937222
0.007450595,0.041005894,0.059727004,0.019749131
0.008536911,0.047125849,0.071324232,0.023942455
0.009639275,0.053358267,0.083656495,0.028474898
0.010744794,0.059629643,0.096582904,0.03329899
0.011841897,0.065873419,0.109961115,0.038364305
0.012920437,0.072030731,0.123651783,0.043619382
0.013971721,0.078050671,0.137521965,0.049013306
0.014988474,0.083890206,0.151447579,0.054496953
0.015964763,0.089513836,0.165315054,0.060023929
0.0168959,0.094893089,0.17902228,0.065551229
0.01777832,0.100005917,0.192479028,0.071039665
0.018609464,0.104836041,0.20560693,0.076454092
0.019387654,0.109372278,0.218339145,0.081763485
0.020111972,0.113607895,0.230619799,0.086940891
0.020782151,0.11753998,0.242403264,0.09196329
0.021398474,0.121168865,0.253653348,0.096811397
0.021961675,0.124497597,0.264342436,0.101469409
0.022472861,0.127531463,0.274450621,0.105924736
0.022933432,0.130277563,0.283964841,0.110167717
0.023345025,0.132744436,0.292878065,0.114191326
0.023709447,0.134941736,0.30118851,0.117990894
0.024028637,0.136879951,0.308898916,0.121563836
0.024304618,0.138570159,0.316015888,0.124909388
0.024539467,0.140023826,0.322549283,0.128028375
0.024735284,0.141252635,0.32851167,0.130922979
0.024894167,0.14226834,0.333917838,0.133596543
0.025018196,0.143082648,0.338784362,0.136053384
0.025109417,0.143707125,0.343129223,0.138298627
6.18E-05,0.000309642,0.000136306,2.81E-05
0.000154357,0.00078537,0.000419096,9.34E-05
0.000326893,0.001684228,0.001055102,0.000250327
0.000610021,0.003176501,0.002279189,0.000570402
0.001031186,0.005418665,0.004367587,0.001144241
0.001611192,0.008533488,0.007607779,0.002073762
0.002362257,0.012598026,0.012267132,0.003461908
0.003287545,0.017639686,0.018566647,0.005402616
0.00438183,0.023638764,0.026663277,0.007972685
0.005632863,0.03053523,0.036641491,0.011226398
0.007023067,0.038237671,0.048512983,0.015193013
0.008531276,0.046632753,0.06222252,0.01987677
0.010134325,0.055594098,0.077657734,0.025258795
0.011808397,0.064989963,0.094660921,0.031300264
0.013530092,0.074689438,0.113041289,0.037946234
0.015277221,0.084567155,0.132586609,0.045129673
0.017029351,0.094506615,0.153073587,0.052775343
0.018768142,0.104402334,0.174276623,0.060803326
0.020477513,0.114161015,0.19597487,0.069132062
0.022143686,0.123701977,0.217957626,0.077680854
0.02375513,0.132957017,0.240028238,0.086371849
0.025302444,0.141869869,0.262006703,0.095131516
0.026778196,0.150395411,0.283731193,0.103891697
0.028176738,0.158498697,0.305058701,0.112590282
0.029494013,0.166153927,0.325865023,0.12117157
0.030727361,0.173343379,0.346044225,0.129586391
0.031875327,0.18005638,0.36550775,0.137792026
0.03293749,0.186288314,0.384183283,0.145751993
0.033914296,0.192039709,0.402013464,0.153435724
0.034806909,0.197315394,0.418954528,0.160818175
0.035617084,0.202123748,0.43497492,0.167879393
0.036347041,0.206476022,0.450053944,0.174604064
0.036999371,0.210385752,0.464180452,0.180981055
0.037576941,0.213868239,0.477351619,0.187002965
0.038082823,0.216940102,0.48957179,0.192665696
0.038520224,0.219618901,0.50085143,0.197968039
0.038892435,0.221922809,0.511206163,0.202911299
0.039202783,0.22387034,0.52065591,0.207498938
0.039454595,0.225480123,0.529224109,0.211736252
0.039651169,0.226770714,0.53693703,0.215630083
0.039795744,0.227760445,0.543823169,0.219188552
9.79E-05,0.00049075,0.00021603,4.46E-05
0.000244639,0.001244728,0.000664223,0.000147952
0.00051809,0.002669322,0.001672224,0.000396741
0.000966818,0.005034415,0.003612271,0.000904027
0.00163432,0.008588005,0.006922159,0.0018135
0.002553568,0.013524667,0.012057518,0.003286691
0.003743925,0.019966526,0.019442093,0.005486754
0.005210408,0.027957019,0.029426152,0.008562569
0.006944733,0.037464917,0.042258446,0.012635855
0.008927486,0.048395078,0.05807285,0.017792642
0.011130811,0.060602624,0.076887897,0.024079303
0.013521162,0.073907932,0.098616048,0.031502558
0.016061823,0.088110708,0.123079215,0.040032492
0.018715048,0.10300215,0.15002745,0.049607575
0.021443751,0.118374781,0.17915837,0.060140728
0.024212764,0.134029908,0.210135615,0.071525711
0.026989703,0.149782891,0.242605285,0.083643281
0.0297455,0.165466548,0.276209834,0.096366777
0.032454671,0.180933015,0.310599237,0.109566934
0.035095377,0.196054422,0.345439557,0.123115857
0.037649344,0.210722671,0.38041912,0.136890156
0.040101672,0.22484859,0.415252641,0.150773292
0.042440581,0.238360662,0.449683636,0.164657244
0.044657121,0.251203506,0.483485459,0.178443571
0.046744861,0.263336228,0.516461257,0.192043997
0.048699585,0.274730742,0.548443136,0.205380588
0.050518988,0.285370131,0.579290744,0.218385643
0.052202404,0.295247081,0.60888947,0.231001341
0.053750536,0.304362427,0.637148403,0.243179234
0.055165234,0.312723825,0.663998179,0.254879631
0.056449274,0.320344552,0.68938879,0.266070908
0.057606178,0.327242442,0.713287432,0.276728793
0.058640051,0.333438947,0.735676439,0.286835642
0.059555439,0.338958316,0.756551331,0.296379727
0.060357207,0.343826891,0.775918996,0.30535455
0.061050441,0.348072501,0.793796021,0.313758198
0.061640355,0.351723949,0.810207168,0.321592737
0.062132223,0.354810578,0.825184008,0.328863654
0.06253132,0.357361912,0.838763687,0.335579344
0.062842868,0.359407361,0.850987843,0.34175065
0.063072003,0.360975978,0.861901639,0.347390444
0.000155184,0.000777787,0.000342385,7.07E-05
0.000387726,0.00197276,0.001052722,0.000234488
0.000821118,0.00423059,0.002650296,0.000628792
0.001532303,0.007979011,0.005725064,0.001432786
0.002590223,0.013611071,0.010970882,0.002874205
0.004047132,0.021435152,0.019109878,0.005209054
0.005933721,0.03164481,0.030813641,0.008695919
0.00825794,0.044308889,0.046637308,0.013570758
0.01100666,0.059377891,0.066975123,0.02002648
0.014149111,0.076701029,0.092039264,0.028199437
0.017641146,0.096048687,0.121859104,0.038163124
0.021429597,0.117136179,0.156295903,0.049928189
0.025456274,0.139646061,0.195067409,0.063447224
0.029661352,0.163247406,0.237777484,0.078622707
0.033986054,0.187611385,0.283946881,0.09531663
0.038374644,0.212423089,0.333042505,0.113360612
0.042775797,0.237389885,0.384503465,0.132565667
0.047143441,0.262246806,0.437763085,0.152731049
0.051437187,0.286759504,0.492266617,0.173651888
0.055622424,0.310725319,0.547484803,0.195125484
0.059670188,0.333972927,0.602923673,0.216956276
0.063556866,0.356361,0.658131083,0.238959564
0.067263788,0.377776191,0.712700534,0.260964144
0.070776767,0.398130727,0.766272813,0.282814001
0.074085612,0.417359795,0.818535931,0.304369223
0.07718364,0.435418882,0.869223793,0.325506297
0.080067201,0.452281178,0.918113957,0.346117919
0.082735234,0.467935088,0.965024775,0.366112453
0.085188859,0.482381938,1.009812166,0.385413113
0.087431004,0.495633861,1.052366194,0.403956992
0.08946607,0.507711899,1.0926076,0.42169397
0.091299639,0.518644319,1.130484395,0.43858558
0.092938218,0.528465117,1.16596858,0.454603857
0.094389009,0.537212727,1.199053054,0.469730211
0.095659727,0.544928899,1.229748735,0.483954347
0.096758428,0.551657738,1.25808191,0.497273232
0.097693379,0.557444892,1.284091826,0.50969014
0.098472938,0.562336869,1.307828516,0.521213766
0.099105463,0.566380461,1.329350858,0.531857417
0.099599234,0.56962228,1.348724839,0.541638279
0.099962389,0.57210837,1.36602204,0.55057675
0.00024595,0.001232709,0.000542644,0.000112056
0.000614505,0.003126614,0.001668453,0.000371639
0.001301384,0.006705033,0.004200437,0.000996568
0.002428536,0.01264588,0.009073615,0.002270812
0.004105226,0.021572093,0.017387677,0.004555307
0.006414272,0.033972427,0.030287115,0.008255794
0.009404314,0.050153645,0.048836331,0.013782102
0.013087953,0.070224857,0.073915152,0.021508201
0.01744438,0.094107615,0.106148417,0.031739832
0.02242483,0.121562939,0.145872403,0.044693095
0.027959333,0.152226909,0.193133665,0.060484475
0.033963623,0.185648332,0.247712312,0.079130847
0.040345476,0.221324091,0.309161009,0.100557073
0.047010075,0.258729702,0.376851915,0.124608594
0.053864266,0.297344007,0.450025479,0.151066678
0.060819713,0.336667907,0.5278368,0.179664463
0.067795069,0.376237612,0.609396925,0.210102423
0.074717319,0.415633177,0.693807733,0.242062399
0.081522447,0.454483186,0.78019001,0.275219694
0.0881556,0.492466442,0.867704937,0.309253052
0.094570875,0.529311418,0.955569625,0.343852525
0.100730845,0.564794122,1.043067473,0.378725386
0.106605919,0.598734914,1.129554225,0.413600296
0.112173616,0.630994679,1.214460565,0.448229986
0.117417783,0.661470697,1.297292025,0.48239271
0.122327826,0.690092423,1.377626873,0.515892713
0.126897962,0.71681736,1.45511256,0.548559934
0.131126509,0.741627136,1.529461197,0.580249134
0.135015243,0.76452385,1.600444428,0.610838619
0.138568803,0.785526732,1.667888017,0.640228687
0.141794165,0.804669133,1.731666347,0.668339903
0.144700177,0.82199585,1.791697021,0.6951113
0.147297148,0.837560766,1.847935665,0.720498558
0.149596498,0.851424794,1.900371023,0.744472214
0.15161045,0.863654102,1.949020399,0.76701595
0.153351774,0.874318593,1.993925455,0.78812496
0.154833571,0.883490615,2.035148393,0.807804432
0.156069089,0.891243876,2.072768512,0.826068149
0.157071573,0.897652538,2.106879125,0.8429372
0.157854147,0.902790474,2.137584816,0.858438821
0.158429709,0.906730661,2.164999032,0.872605343
0.000389805,0.001953712,0.000860033,0.000177597
0.000973925,0.00495535,0.002644319,0.000589008
0.002062554,0.010626761,0.006657243,0.001579454
0.00384897,0.020042369,0.014380711,0.003598995
0.006506345,0.034189464,0.02755761,0.007219675
0.010165936,0.053842668,0.048001843,0.013084552
0.014904834,0.07948817,0.077400368,0.02184316
0.020743008,0.111298897,0.117147621,0.034088202
0.027647479,0.149150519,0.168233904,0.050304244
0.03554096,0.192664275,0.231192178,0.070833783
0.044312556,0.241263392,0.306096231,0.095861433
0.053828714,0.294232778,0.392597558,0.125413941
0.06394327,0.350775046,0.489987179,0.159372221
0.074505948,0.410058944,0.597270035,0.197491312
0.085369108,0.471258493,0.713242318,0.23942455
0.096392749,0.533582674,0.83656495,0.284748984
0.107447944,0.59629643,0.965829037,0.332989901
0.11841897,0.658734193,1.099611154,0.383643049
0.129204371,0.720307308,1.236517835,0.43619382
0.139717211,0.780506712,1.375219647,0.490133057
0.149884737,0.838902063,1.514475794,0.544969526
0.15964763,0.895138359,1.653150538,0.600239286
0.168958996,0.948930889,1.790222802,0.655512293
0.1777832,1.000059172,1.924790282,0.710396653
0.186094644,1.048360405,2.056069298,0.764540922
0.193876539,1.093722783,2.183391452,0.81763485
0.201119716,1.136078954,2.306197991,0.869408905
0.207821512,1.175399799,2.424032639,0.919632902
0.213984739,1.211688646,2.536533479,0.968113969
0.219616752,1.24497597,2.643424364,1.014694087
0.224728606,1.275314631,2.744506206,1.059247363
0.229334325,1.302775628,2.839648412,1.101677168
0.233450248,1.327444357,2.928780655,1.141913259
0.237094472,1.34941736,3.011885098,1.179908944
0.24028637,1.368799507,3.088989163,1.215638358
0.243046183,1.385701586,3.16015888,1.249093884
0.245394673,1.400238261,3.225492834,1.280283746
0.247352836,1.412526351,3.285116705,1.309229786
0.248941668,1.422683396,3.339178382,1.33596543
0.250181963,1.430826477,3.387843623,1.360533843
0.251094168,1.437071253,3.431292227,1.382986268
0.000617799,0.003096424,0.00136306,0.000281472
0.001543567,0.0078537,0.004190963,0.000933515
0.003268928,0.016842281,0.01055102,0.002503266
0.006100207,0.031765014,0.022791892,0.005704023
0.010311863,0.054186648,0.043675869,0.011442414
0.016111922,0.085334878,0.076077794,0.020737618
0.023622569,0.125980259,0.122671316,0.034619075
0.032875452,0.176396865,0.185666467,0.054026159
0.043818301,0.236387642,0.266632769,0.079726854
0.056328626,0.305352298,0.36641491,0.11226398
0.070230668,0.382376708,0.485129832,0.151930133
0.085312763,0.466327527,0.622225197,0.198767702
0.101343253,0.555940982,0.776577344,0.252587948
0.118083969,0.649899629,0.946609213,0.313002636
0.135300919,0.746894377,1.130412894,0.379462339
0.152772211,0.845671548,1.325866095,0.451296727
0.170293515,0.945066153,1.530735866,0.527753427
0.18768142,1.044023338,1.742766232,0.608033256
0.204775128,1.141610148,1.959748699,0.691320616
0.221436856,1.237019774,2.179576257,0.776808545
0.237551299,1.329570169,2.400282376,0.863718492
0.253024442,1.418698692,2.620067034,0.951315158
0.267781962,1.503954106,2.837311931,1.038916971
0.281767383,1.584986973,3.050587014,1.125902819
0.294940135,1.661539269,3.258650234,1.211715703
0.307273607,1.733433793,3.460442249,1.295863907
0.318753268,1.8005638,3.655077496,1.377920256
0.329374899,1.86288314,3.841832828,1.457519926
0.339142957,1.920397086,4.020134644,1.534357239
0.348069095,1.973153939,4.189545279,1.608181751
0.356170838,2.021237477,4.349749202,1.678793934
0.36347041,2.064760223,4.500539437,1.746040644
0.369993708,2.103857524,4.641804522,1.809810551
0.375769414,2.138682388,4.773516188,1.870029654
0.380828232,2.16940102,4.895717896,1.926656958
0.38520224,2.19618901,5.008514296,1.979680393
0.388924346,2.219228088,5.112061635,2.029112993
0.392027826,2.238703399,5.206559102,2.074989375
0.394545954,2.25480123,5.292241086,2.117362516
0.39651169,2.267707142,5.369370296,2.156300826
0.397957437,2.277604445,5.438231692,2.191885521
0.000979146,0.004907502,0.002160304,0.000446104
0.002446388,0.012447276,0.006642229,0.001479522
0.005180901,0.026693216,0.016722239,0.00396741
0.009668176,0.050344154,0.036122714,0.009040267
0.016343201,0.08588005,0.069221588,0.018135005
0.025535676,0.135246667,0.120575178,0.03286691
0.037439249,0.199665255,0.194420934,0.054867537
0.05210408,0.27957019,0.294261519,0.085625691
0.069447327,0.374649165,0.42258446,0.126358548
0.089274856,0.483950778,0.580728496,0.177926418
0.111308108,0.606026242,0.768878968,0.240793033
0.135211617,0.739079323,0.986160478,0.315025577
0.160618231,0.881107078,1.230792146,0.400324919
0.187150479,1.030021497,1.500274498,0.496075746
0.214437505,1.183747814,1.791583701,0.601407277
0.242127638,1.340299079,2.101356148,0.71525711
0.269897032,1.497828913,2.426052854,0.836432813
0.297455005,1.654665481,2.762098337,0.963667769
0.324546707,1.809330153,3.105992372,1.095669338
0.350953766,1.960544219,3.454395572,1.231158575
0.376493436,2.107226709,3.804191198,1.368901558
0.401016715,2.248485899,4.152526405,1.507732918
0.424405809,2.383606624,4.496836365,1.646572435
0.446571208,2.512035064,4.834854592,1.784435714
0.467448612,2.633362277,5.164612573,1.920439969
0.486995847,2.747307418,5.484431363,2.053805885
0.505189885,2.853701309,5.792907442,2.183856433
0.522024035,2.952470808,6.088894695,2.310013409
0.537505363,3.043624268,6.371484029,2.431792343
0.551652339,3.127238246,6.639981793,2.54879631
0.564492737,3.203445518,6.893887899,2.660709078
0.576061779,3.272424422,7.132874316,2.76728793
0.58640051,3.334389468,7.356764388,2.868356422
0.595554386,3.389583157,7.56551331,2.963797268
0.603572072,3.438268908,7.759189965,3.053545497
0.610504408,3.480725012,7.937960211,3.137581978
0.616403548,3.51723949,8.102071684,3.21592737
0.621322233,3.548105776,8.251840077,3.288636536
0.625313197,3.573619119,8.38763687,3.355793437
0.628428679,3.594073613,8.50987843,3.4175065
0.630720033,3.609759781,8.619016387,3.47390444
0.001551841,0.007777866,0.003423852,0.000707026
0.003877264,0.019727603,0.010527224,0.002344885
0.008211175,0.042305897,0.026502963,0.006287921
0.015323026,0.079790107,0.057250643,0.014327858
0.025902228,0.136110707,0.109708823,0.028742045
0.040471319,0.214351521,0.191098779,0.052090541
0.059337211,0.316448104,0.308136414,0.086959185
0.082579401,0.443088891,0.466373079,0.135707575
0.110066596,0.593778911,0.669751234,0.200264803
0.141491112,0.767010293,0.92039264,0.281994368
0.176411463,0.960486865,1.218591043,0.381631239
0.214295972,1.171361787,1.562959029,0.499281893
0.254562741,1.39646061,1.950674094,0.634472239
0.29661352,1.632474059,2.377774838,0.786227073
0.339860542,1.876113852,2.839468812,0.9531663
0.383746445,2.124230886,3.330425053,1.133606125
0.427757969,2.373898848,3.845034653,1.325656671
0.471434412,2.622468057,4.377630851,1.527310487
0.514371867,2.867595042,4.922666166,1.736518875
0.556224235,3.107253186,5.474848026,1.951254844
0.596701884,3.339729266,6.029236732,2.16956276
0.635568662,3.563609995,6.581310831,2.389595638
0.672637877,3.777761913,7.127005342,2.609641443
0.707767667,3.981307272,7.662728129,2.828140015
0.740856123,4.173597946,8.185359308,3.043692233
0.771836403,4.354188824,8.692237932,3.255062965
0.800672009,4.522811778,9.181139569,3.461179194
0.827352339,4.679350884,9.650247752,3.661124527
0.851888591,4.823819383,10.09812166,3.85413113
0.874310037,4.956338607,10.52366194,4.03956992
0.894660696,5.077118994,10.926076,4.216939704
0.912996392,5.18644319,11.30484395,4.385855802
0.929382176,5.28465117,11.6596858,4.546038567
0.943890092,5.372127271,11.99053054,4.697302114
0.956597268,5.449288986,12.29748735,4.839543471
0.967584281,5.516577376,12.5808191,4.972732318
0.976933788,5.574448924,12.84091826,5.096901395
0.984729378,5.623368691,13.07828516,5.212137658
0.991054629,5.663804614,13.29350858,5.318574174
0.995992335,5.696222802,13.48724839,5.416382787
0.999623886,5.721083703,13.6602204,5.505767499
0.002459502,0.012327087,0.005426439,0.001120561
0.00614505,0.031266144,0.016684526,0.003716392
0.013013836,0.067050328,0.042004366,0.009965683
0.02428536,0.126458798,0.090736155,0.022708125
0.041052265,0.215720933,0.173876767,0.045553072
0.064142717,0.339724267,0.302871155,0.082557944
0.094043142,0.501536445,0.488363305,0.137821021
0.130879531,0.702248567,0.739151518,0.215082012
0.174443799,0.941076155,1.061484171,0.317398323
0.2242483,1.215629392,1.45872403,0.446930955
0.279593327,1.522269094,1.931336648,0.604844753
0.339636227,1.856483323,2.477123125,0.791308473
0.403454755,2.213240914,3.091610092,1.005570733
0.470100748,2.587297024,3.768519155,1.246085936
0.538642659,2.973440072,4.50025479,1.51066678
0.608197128,3.36667907,5.278367995,1.79664463
0.677950693,3.762376123,6.093969247,2.101024234
0.74717319,4.156331771,6.938077334,2.420623993
0.81522447,4.544831861,7.801900096,2.752196944
0.881556004,4.924664421,8.677049366,3.092530519
0.945708753,5.293114179,9.555696252,3.43852525
1.007308446,5.647941222,10.43067473,3.78725386
1.066059193,5.987349138,11.29554225,4.136002958
1.121736157,6.309946793,12.14460565,4.482299857
1.174177826,6.614706972,12.97292025,4.8239271
1.223278261,6.900924226,13.77626873,5.158927135
1.268979616,7.168173597,14.5511256,5.485599342
1.311265091,7.416271361,15.29461197,5.802491339
1.350152429,7.645238502,16.00444428,6.108386191
1.385688025,7.855267318,16.67888017,6.402286867
1.417941647,8.046691331,17.31666347,6.68339903
1.447001767,8.219958504,17.91697021,6.951113003
1.472971483,8.375607663,18.47935665,7.204985577
1.495964981,8.51424794,19.00371023,7.444722143
1.516104498,8.636541018,19.49020399,7.670159503
1.53351774,8.743185929,19.93925455,7.881249599
1.548335709,8.834906151,20.35148393,8.078044324
1.560690887,8.912438757,20.72768512,8.260681492
1.570715735,8.976525377,21.06879125,8.429372002
1.578541472,9.027904741,21.37584816,8.584388207
1.584297093,9.067306614,21.64999032,8.726053428
0.003898049,0.019537116,0.008600327,0.00177597
0.009739248,0.049553499,0.026443192,0.005890084
0.02062554,0.106267609,0.066572434,0.015794543
0.038489702,0.200423688,0.143807114,0.035989952
0.065063455,0.341894638,0.275576105,0.072196753
0.101659356,0.538426678,0.480018431,0.130845524
0.149048335,0.794881698,0.774003678,0.218431598
0.207430078,1.112988973,1.171476209,0.340882017
0.27647479,1.491505191,1.682339036,0.503042441
0.355409603,1.926642748,2.311921784,0.708337828
0.443125561,2.412633924,3.060962306,0.958614331
0.538287144,2.94232778,3.925975577,1.254139412
0.639432695,3.507750457,4.899871789,1.593722209
0.745059476,4.10058944,5.972700354,1.974913118
0.853691084,4.712584928,7.13242318,2.394245496
0.963927487,5.335826739,8.365649503,2.847489844
1.074479438,5.962964305,9.658290374,3.329899005
1.184189703,6.587341929,10.99611154,3.836430488
1.292043713,7.203073077,12.36517835,4.361938201
1.397172109,7.805067117,13.75219647,4.901330567
1.498847365,8.389020629,15.14475794,5.44969526
1.596476299,8.951383595,16.53150538,6.002392861
1.689589957,9.48930889,17.90222802,6.555122933
1.777831999,10.00059172,19.24790282,7.10396653
1.860946443,10.48360405,20.56069298,7.645409221
1.938765389,10.93722783,21.83391452,8.176348496
2.011197155,11.36078954,23.06197991,8.694089054
2.078215116,11.75399799,24.24032639,9.196329023
2.139847393,12.11688646,25.36533479,9.681139691
2.196167518,12.4497597,26.43424364,10.14694087
2.247286063,12.75314631,27.44506206,10.59247363
2.29334325,13.02775628,28.39648412,11.01677168
2.334502477,13.27444357,29.28780655,11.41913259
2.370944715,13.4941736,30.11885098,11.79908944
2.402863698,13.68799507,30.88989163,12.15638358
2.430461827,13.85701586,31.6015888,12.49093884
2.453946725,14.00238261,32.25492834,12.80283746
2.473528362,14.12526351,32.85116705,13.09229786
2.489416675,14.22683396,33.39178382,13.3596543
2.501819633,14.30826477,33.87843623,13.60533843
2.510941677,14.37071253,34.31292227,13.82986268
0.006177991,0.030964242,0.0136306,0.002814723
0.015435668,0.078537004,0.041909635,0.009335155
0.032689278,0.16842281,0.105510197,0.025032664
0.061002066,0.317650139,0.227918916,0.05704023
0.103118627,0.541866485,0.436758692,0.114424143
0.161119222,0.853348776,0.760777944,0.20737618
0.236225692,1.259802592,1.22671316,0.346190753
0.328754518,1.763968647,1.856664669,0.540261588
0.438183013,2.363876424,2.666327686,0.797268541
0.563286261,3.053522975,3.664149097,1.122639801
0.702306684,3.823767082,4.851298321,1.519301328
0.853127631,4.663275269,6.222251966,1.987677016
1.013432526,5.55940982,7.765773443,2.52587948
1.180839692,6.498996288,9.466092132,3.130026356
1.353009188,7.468943771,11.30412894,3.794623387
1.527722113,8.456715476,13.25866095,4.512967269
1.702935147,9.450661534,15.30735866,5.277534265
1.876814199,10.44023338,17.42766232,6.080332565
2.047751285,11.41610148,19.59748699,6.91320616
2.214368565,12.37019774,21.79576257,7.768085449
2.375512985,13.29570169,24.00282376,8.637184919
2.530244418,14.18698692,26.20067034,9.513151584
2.677819621,15.03954106,28.37311931,10.38916971
2.817673833,15.84986973,30.50587014,11.25902819
2.949401349,16.61539269,32.58650234,12.11715703
3.072736066,17.33433793,34.60442249,12.95863907
3.18753268,18.005638,36.55077496,13.77920256
3.293748989,18.6288314,38.41832828,14.57519926
3.391429566,19.20397086,40.20134644,15.34357239
3.480690949,19.73153939,41.89545279,16.08181751
