"[14,1]_1214.227","[14,1]_1214.283","[14,1]_1214.397","[14,2]_1214.211","[14,2]_1214.325","[14,2]_1214.495","[14,3]_1214.213","[14,3]_1214.383","[14,3]_1214.61","[14,4]_1214.232","[14,4]_1214.459","[14,4]_1214.743","[14,5]_1214.273","[14,5]_1214.556","[14,5]_1214.896","[14,6]_1214.332","[14,6]_1214.672","[14,6]_1215.07","[14,7]_1214.41","[14,7]_1214.807","[14,7]_1215.261","[14,8]_1214.509","[14,8]_1214.963","[14,8]_1215.474","[14,9]_1214.628","[14,9]_1215.139","[14,9]_1215.706","[14,10]_1214.767","[14,10]_1215.334","[14,10]_1215.958","[14,11]_1214.923","[14,11]_1215.547","[14,11]_1216.229","[14,12]_1215.102","[14,12]_1215.783","[14,12]_1216.521","[14,13]_1215.298","[14,13]_1216.036","[14,13]_1216.832","[14,14]_1215.514","[14,14]_1216.309","[14,14]_1217.162","[14,15]_1215.75","[14,15]_1216.602","[14,15]_1217.512","[14,16]_1216.006","[14,16]_1216.915","[14,16]_1217.882","[14,17]_1216.281","[14,17]_1217.247","[14,17]_1218.271","[14,18]_1216.575","[14,18]_1217.598","[14,18]_1218.68","[14,19]_1216.89","[14,19]_1217.97","[14,20]_1217.229","[14,20]_1218.367","[14,21]_1217.583","[14,21]_1218.778","[14,22]_1217.963","[14,23]_1218.35","[14,24]_1218.768"
0.022867779,0.065512453,0.099570481,0.065512453,0.099570481,0.121394089,0.099570481,0.121394089,0.129796838,0.121394089,0.129796838,0.12598611,0.129796838,0.12598611,0.112920232,0.12598611,0.112920232,0.094365405,0.112920232,0.094365405,0.073971364,0.094365405,0.073971364,0.054609424,0.073971364,0.054609424,0.038075498,0.054609424,0.038075498,0.025123905,0.038075498,0.025123905,0.015713082,0.025123905,0.015713082,0.009325786,0.015713082,0.009325786,0.005257367,0.009325786,0.005257367,0.002817342,0.005257367,0.002817342,0.001436049,0.002817342,0.001436049,0.0006966,0.001436049,0.0006966,0.000321717,0.0006966,0.000321717,0.000141515,0.000321717,0.000141515,0.000141515,5.93E-05,5.93E-05,2.37E-05,2.37E-05,9.02E-06,3.27E-06
0.021120731,0.060722399,0.092947095,0.060722399,0.092947095,0.114530944,0.092947095,0.114530944,0.124207909,0.114530944,0.124207909,0.122717686,0.124207909,0.122717686,0.11235563,0.122717686,0.11235563,0.096252792,0.11235563,0.096252792,0.077621148,0.096252792,0.077621148,0.059161331,0.077621148,0.059161331,0.042737321,0.059161331,0.042737321,0.029320885,0.042737321,0.029320885,0.01913444,0.029320885,0.01913444,0.011891587,0.01913444,0.011891587,0.007044617,0.011891587,0.007044617,0.003981046,0.007044617,0.003981046,0.002147478,0.003981046,0.002147478,0.00110631,0.002147478,0.00110631,0.000544542,0.00110631,0.000544542,0.000256186,0.000544542,0.000256186,0.000256186,0.000115236,0.000115236,4.96E-05,4.96E-05,2.04E-05,8.03E-06
0.019621607,0.05658413,0.087140826,0.05658413,0.087140826,0.108359942,0.087140826,0.108359942,0.1189529,0.108359942,0.1189529,0.11932526,0.1189529,0.11932526,0.111259949,0.11932526,0.111259949,0.097363273,0.111259949,0.097363273,0.080448581,0.097363273,0.080448581,0.063016029,0.080448581,0.063016029,0.046925941,0.063016029,0.046925941,0.033288382,0.046925941,0.033288382,0.022529836,0.033288382,0.022529836,0.014565484,0.022529836,0.014565484,0.009003282,0.014565484,0.009003282,0.005324929,0.009003282,0.005324929,0.003015314,0.005324929,0.003015314,0.001635616,0.003015314,0.001635616,0.000850254,0.001635616,0.000850254,0.000423737,0.000850254,0.000423737,0.000423737,0.000202518,0.000202518,9.28E-05,9.28E-05,4.08E-05,1.72E-05
0.01832113,0.052973225,0.082010896,0.052973225,0.082010896,0.102789963,0.082010896,0.102789963,0.114033607,0.102789963,0.114033607,0.11590702,0.114033607,0.11590702,0.109794137,0.11590702,0.109794137,0.097868193,0.109794137,0.097868193,0.082587393,0.097868193,0.082587393,0.066242676,0.082587393,0.066242676,0.05064463,0.066242676,0.05064463,0.036981827,0.05064463,0.036981827,0.025832722,0.036981827,0.025832722,0.017282007,0.025832722,0.017282007,0.011083255,0.017282007,0.011083255,0.006818942,0.011083255,0.006818942,0.004027275,0.006818942,0.004027275,0.002284408,0.004027275,0.002284408,0.001245065,0.002284408,0.001245065,0.00065227,0.001245065,0.00065227,0.00065227,0.000328562,0.000328562,0.000159179,0.000159179,7.42E-05,3.33E-05
0.017182271,0.049795006,0.077446721,0.049795006,0.077446721,0.097742906,0.077446721,0.097742906,0.109438792,0.097742906,0.109438792,0.112525966,0.109438792,0.112525966,0.108075497,0.112525966,0.108075497,0.097902775,0.108075497,0.097902775,0.084153567,0.097902775,0.084153567,0.068913082,0.084153567,0.068913082,0.053914006,0.068913082,0.053914006,0.040379404,0.053914006,0.040379404,0.028996368,0.040379404,0.028996368,0.01998792,0.028996368,0.01998792,0.013238486,0.01998792,0.013238486,0.008431069,0.013238486,0.008431069,0.005166163,0.008431069,0.005166163,0.003047315,0.005166163,0.003047315,0.001731084,0.003047315,0.001731084,0.000947393,0.001731084,0.000947393,0.000947393,0.000499679,0.000499679,0.000254051,0.000254051,0.000124546,5.89E-05
0.016176665,0.04697616,0.073360337,0.04697616,0.073360337,0.093152236,0.073360337,0.093152236,0.105150702,0.093152236,0.105150702,0.109221828,0.105150702,0.109221828,0.106189734,0.109221828,0.106189734,0.097573408,0.106189734,0.097573408,0.085245712,0.097573408,0.085245712,0.071096351,0.085245712,0.071096351,0.056764214,0.071096351,0.056764214,0.043475218,0.056764214,0.043475218,0.031990084,0.043475218,0.031990084,0.022641748,0.031990084,0.022641748,0.015428776,0.022641748,0.015428776,0.010129927,0.015428776,0.010129927,0.006412119,0.010129927,0.006412119,0.003915069,0.006412119,0.003915069,0.002306783,0.003915069,0.002306783,0.001312088,0.002306783,0.001312088,0.001312088,0.000720684,0.000720684,0.00038236,0.00038236,0.000195998,9.71E-05
0.015282218,0.044459038,0.069680962,0.044459038,0.069680962,0.088961365,0.069680962,0.088961365,0.101148779,0.088961365,0.101148779,0.106018845,0.101148779,0.106018845,0.104199593,0.106018845,0.104199593,0.096963739,0.104199593,0.096963739,0.085946683,0.096963739,0.085946683,0.072856224,0.085946683,0.072856224,0.05922984,0.072856224,0.05922984,0.046274078,0.05922984,0.046274078,0.034795625,0.046274078,0.034795625,0.025212464,0.034795625,0.025212464,0.01762038,0.025212464,0.01762038,0.011886408,0.01762038,0.011886408,0.007744403,0.011886408,0.007744403,0.004875834,0.007744403,0.004875834,0.002967699,0.004875834,0.002967699,0.001746867,0.002967699,0.001746867,0.001746867,0.000994729,0.000994729,0.000548119,0.000548119,0.000292331,0.000150937
0.014481464,0.042197686,0.066351033,0.042197686,0.066351033,0.085122114,0.066351033,0.085122114,0.097411752,0.085122114,0.097411752,0.1029309,0.097411752,0.1029309,0.102151045,0.1029309,0.102151045,0.09613957,0.102151045,0.09613957,0.086325624,0.09613957,0.086325624,0.074250022,0.086325624,0.074250022,0.061346686,0.074250022,0.061346686,0.048787658,0.061346686,0.048787658,0.037404101,0.048787658,0.037404101,0.02767787,0.037404101,0.02767787,0.019785886,0.02767787,0.019785886,0.013674561,0.019785886,0.013674561,0.00914266,0.013674561,0.00914266,0.005916355,0.00914266,0.005916355,0.003707185,0.005916355,0.003707185,0.002250096,0.003707185,0.002250096,0.002250096,0.001323308,0.001323308,0.000754297,0.000754297,0.000416821,0.000223344
0.013760413,0.040155025,0.063323287,0.040155025,0.063323287,0.081593361,0.063323287,0.081593361,0.093918804,0.081593361,0.093918804,0.099964951,0.093918804,0.099964951,0.100077738,0.099964951,0.100077738,0.095152734,0.100077738,0.095152734,0.086440014,0.095152734,0.086440014,0.075328459,0.086440014,0.075328459,0.063149826,0.075328459,0.063149826,0.051031755,0.063149826,0.051031755,0.039813459,0.051031755,0.039813459,0.030022984,0.039813459,0.030022984,0.02190369,0.030022984,0.02190369,0.015471964,0.02190369,0.015471964,0.010587764,0.015471964,0.010587764,0.007022869,0.010587764,0.007022869,0.004517122,0.007022869,0.004517122,0.002818408,0.004517122,0.002818408,0.002818408,0.001706383,0.001706383,0.001002763,0.001002763,0.0005721,0.00031695
0.01310773,0.03830081,0.060558563,0.03830081,0.060558563,0.078339892,0.060558563,0.078339892,0.090650173,0.078339892,0.090650173,0.097123338,0.090650173,0.097123338,0.098004225,0.097123338,0.098004225,0.094044119,0.098004225,0.094044119,0.086337542,0.094044119,0.086337542,0.076135932,0.086337542,0.076135932,0.064672483,0.076135932,0.064672483,0.05302437,0.064672483,0.05302437,0.042026492,0.05302437,0.042026492,0.032238561,0.042026492,0.032238561,0.02395729,0.032238561,0.02395729,0.017259739,0.02395729,0.017259739,0.012062319,0.017259739,0.012062319,0.008181783,0.012062319,0.008181783,0.005388536,0.008181783,0.005388536,0.003447123,0.005388536,0.003447123,0.003447123,0.0021426,0.0021426,0.00129432,0.00129432,0.000760085,0.000434003
