Z_Ji_0,Z_Ji_1,Z_Ji_5,Z_Ji_6
,,,
,,,
,,,
,,,
,,,
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0
1.91288330237e-94,1.01617417647e-94,6.66253030661e-111,3.1851190834e-118
9.46285201768e-93,5.29232498872e-93,6.99550987323e-109,4.46735296577e-116
4.0697002235e-91,2.39184827856e-91,6.21631847708e-107,5.24828843425e-114
1.53291249488e-89,9.4510333677e-90,4.71631704295e-105,5.21298487644e-112
5.09182458954e-88,3.28782860317e-88,3.08025829645e-103,4.41606232767e-110
1.50111742668e-86,1.01354663768e-86,1.74503020656e-101,3.21652021041e-108
3.9512947202e-85,2.78557839443e-85,8.6366728137e-100,2.02967843539e-106
9.33846685569e-84,6.86410283585e-84,3.75933135371e-98,1.11745457863e-104
1.9920225605e-82,1.52457846123e-82,1.44810988588e-96,5.40340759128e-103
3.85409317056e-81,3.06738299819e-81,4.9653902877e-95,2.30904137495e-101
6.79443179075e-80,5.61640301133e-80,1.52384876488e-93,8.77090541582e-100
1.09611946387e-78,9.39974112333e-79,4.20722978668e-92,2.97764591164e-98
1.62477686142e-77,1.44384705426e-77,1.0500512269e-90,9.08115594125e-97
2.22132874697e-76,2.04337459592e-76,2.37987110766e-89,2.49999585581e-95
2.81105951947e-75,2.67406203761e-75,4.91901215535e-88,6.24072400999e-94
3.30392241148e-74,3.24694812996e-74,9.30955853643e-87,1.41867011177e-92
3.61803587802e-73,3.66993470356e-73,1.61939325564e-85,2.94866720465e-91
3.70255744493e-72,3.87293483225e-72,2.59836440289e-84,5.62492237062e-90
3.55096817201e-71,3.8270766941e-71,3.85867592701e-83,9.88349430085e-89
3.20015010575e-70,3.55072522993e-70,5.32050179117e-82,1.60501469311e-87
2.71689007639e-69,3.10101496519e-69,6.83208700666e-81,2.41664930313e-86
2.17817456744e-68,2.55553570818e-68,8.19371974496e-80,3.38400973728e-85
1.65279129199e-67,1.99182001727e-67,9.2026037356e-79,4.41957674462e-84
1.18954952553e-66,1.47148215577e-66,9.70411711069e-78,5.39813376698e-83
8.13715554154e-66,1.03251104305e-65,9.6310482818e-77,6.18219185219e-82
5.30065656338e-65,6.89479936642e-65,9.01708610102e-76,6.65491066403e-81
3.2942219655e-64,4.38980730538e-64,7.98153874269e-75,6.74923510547e-80
1.95659882348e-63,2.66953576201e-63,6.69329935244e-74,6.46310240868e-79
1.11249707533e-62,1.55318933863e-62,5.32829497317e-73,5.85620439415e-78
6.06501143642e-62,8.65980183582e-62,4.0341330445e-72,5.03095566847e-77
3.17508004283e-61,4.63393196411e-61,2.9100908608e-71,4.10556228878e-76
1.59842323393e-60,2.3833149402e-60,2.00355309206e-70,3.18839707881e-75
