ry_int,ry_out,lambda
7.00E-15,6.99E-15,1202.341293
7.00E-15,6.99E-15,1202.351263
7.00E-15,6.99E-15,1202.361233
7.00E-15,6.99E-15,1202.371203
7.00E-15,6.99E-15,1202.381173
7.00E-15,6.99E-15,1202.391143
7.00E-15,6.99E-15,1202.401113
7.00E-15,6.99E-15,1202.411083
7.00E-15,6.99E-15,1202.421053
7.00E-15,6.99E-15,1202.431023
7.00E-15,6.99E-15,1202.440993
7.00E-15,6.99E-15,1202.450963
7.00E-15,6.99E-15,1202.460933
7.00E-15,6.99E-15,1202.470903
7.00E-15,6.99E-15,1202.480873
7.00E-15,6.99E-15,1202.490843
7.00E-15,6.99E-15,1202.500813
7.00E-15,6.99E-15,1202.510783
7.00E-15,6.99E-15,1202.520753
7.00E-15,6.99E-15,1202.530723
7.00E-15,6.99E-15,1202.540693
7.00E-15,6.99E-15,1202.550663
7.00E-15,6.99E-15,1202.560633
7.00E-15,6.99E-15,1202.570603
7.00E-15,6.99E-15,1202.580573
7.00E-15,6.99E-15,1202.590543
7.00E-15,6.99E-15,1202.600513
7.00E-15,6.99E-15,1202.610483
7.00E-15,6.99E-15,1202.620453
7.00E-15,6.99E-15,1202.630423
7.00E-15,6.99E-15,1202.640393
7.00E-15,6.99E-15,1202.650363
7.00E-15,6.99E-15,1202.660333
7.00E-15,6.99E-15,1202.670303
7.00E-15,6.99E-15,1202.680273
7.00E-15,6.99E-15,1202.690243
7.00E-15,6.99E-15,1202.700213
7.00E-15,6.99E-15,1202.710183
7.00E-15,6.99E-15,1202.720153
7.00E-15,6.99E-15,1202.730123
7.00E-15,6.99E-15,1202.740093
7.00E-15,6.99E-15,1202.750063
7.00E-15,6.99E-15,1202.760033
7.00E-15,6.99E-15,1202.770003
7.00E-15,6.99E-15,1202.779973
7.00E-15,6.99E-15,1202.789943
7.00E-15,6.99E-15,1202.799913
7.00E-15,6.99E-15,1202.809883
7.00E-15,6.99E-15,1202.819853
7.00E-15,6.99E-15,1202.829823
7.00E-15,6.99E-15,1202.839793
7.00E-15,6.99E-15,1202.849763
7.00E-15,6.99E-15,1202.859733
7.00E-15,6.99E-15,1202.869703
7.00E-15,6.99E-15,1202.879673
7.00E-15,6.99E-15,1202.889643
7.00E-15,6.99E-15,1202.899613
7.00E-15,6.99E-15,1202.909583
7.00E-15,6.99E-15,1202.919553
7.00E-15,6.99E-15,1202.929523
7.00E-15,6.99E-15,1202.939493
7.00E-15,6.99E-15,1202.949463
7.00E-15,6.99E-15,1202.959433
7.00E-15,6.99E-15,1202.969403
7.00E-15,6.99E-15,1202.979373
7.00E-15,6.99E-15,1202.989343
7.00E-15,6.99E-15,1202.999313
7.00E-15,6.99E-15,1203.009283
7.00E-15,6.99E-15,1203.019253
7.00E-15,6.99E-15,1203.029223
7.00E-15,6.99E-15,1203.039193
7.00E-15,6.99E-15,1203.049163
7.00E-15,6.99E-15,1203.059133
7.00E-15,6.99E-15,1203.069103
7.00E-15,6.99E-15,1203.079073
7.00E-15,6.99E-15,1203.089043
7.00E-15,6.99E-15,1203.099013
7.00E-15,6.99E-15,1203.108983
7.00E-15,6.99E-15,1203.118953
7.00E-15,6.99E-15,1203.128923
7.00E-15,6.99E-15,1203.138893
7.00E-15,6.99E-15,1203.148863
7.00E-15,6.99E-15,1203.158833
7.00E-15,6.99E-15,1203.168803
7.00E-15,6.99E-15,1203.178773
7.00E-15,6.99E-15,1203.188743
7.00E-15,6.99E-15,1203.198713
7.00E-15,6.99E-15,1203.208683
7.00E-15,6.99E-15,1203.218653
7.00E-15,6.99E-15,1203.228623
7.00E-15,6.99E-15,1203.238593
7.00E-15,6.99E-15,1203.248563
7.00E-15,6.99E-15,1203.258533
7.00E-15,6.99E-15,1203.268503
7.00E-15,6.99E-15,1203.278473
7.00E-15,6.99E-15,1203.288443
7.00E-15,6.99E-15,1203.298413
7.00E-15,6.99E-15,1203.308383
7.00E-15,6.99E-15,1203.318353
7.00E-15,6.99E-15,1203.328323
7.00E-15,6.99E-15,1203.338293
7.00E-15,6.99E-15,1203.348263
7.00E-15,6.99E-15,1203.358233
7.00E-15,6.99E-15,1203.368203
7.00E-15,6.99E-15,1203.378173
7.00E-15,6.99E-15,1203.388143
7.00E-15,6.99E-15,1203.398113
7.00E-15,6.99E-15,1203.408083
7.00E-15,6.99E-15,1203.418053
7.00E-15,6.99E-15,1203.428023
7.00E-15,6.99E-15,1203.437993
7.00E-15,6.99E-15,1203.447963
7.00E-15,6.99E-15,1203.457933
7.00E-15,6.99E-15,1203.467903
7.00E-15,6.99E-15,1203.477873
7.00E-15,6.99E-15,1203.487843
7.00E-15,6.99E-15,1203.497813
7.00E-15,6.99E-15,1203.507783
7.00E-15,6.99E-15,1203.517753
7.00E-15,6.99E-15,1203.527723
7.00E-15,6.99E-15,1203.537693
7.00E-15,6.99E-15,1203.547663
7.00E-15,6.99E-15,1203.557633
7.00E-15,6.99E-15,1203.567603
7.00E-15,6.99E-15,1203.577573
7.00E-15,6.99E-15,1203.587543
7.00E-15,6.99E-15,1203.597513
7.00E-15,6.99E-15,1203.607483
7.00E-15,6.99E-15,1203.617453
7.00E-15,6.99E-15,1203.627423
7.00E-15,6.99E-15,1203.637393
7.00E-15,6.99E-15,1203.647363
7.00E-15,6.99E-15,1203.657333
7.00E-15,6.99E-15,1203.667303
7.00E-15,6.99E-15,1203.677273
7.00E-15,6.99E-15,1203.687243
7.00E-15,6.99E-15,1203.697213
7.00E-15,6.99E-15,1203.707183
7.00E-15,6.99E-15,1203.717153
7.00E-15,6.99E-15,1203.727123
7.00E-15,6.99E-15,1203.737093
7.00E-15,6.99E-15,1203.747063
7.00E-15,6.99E-15,1203.757033
7.00E-15,6.99E-15,1203.767003
